Type	Software	Step	SampleID	Time	RSS
Remove	KneadData	HostRemove	SimulatedData1	760.65965	9.99
Remove	KneadData	HostRemove	SimulatedData2	790.1239167	10
Remove	KneadData	HostRemove	SimulatedData3	842.3456333	10
Remove	Kraken2	SpeciesAnnotation	SimulatedData1	2.27395	148.11
Remove	Kraken2	SpeciesAnnotation	SimulatedData2	2.36385	148.1
Remove	Kraken2	SpeciesAnnotation	SimulatedData3	2.354733333	148.14
Remove	HUMAnN3	FunctionAnnotation	SimulatedData1	293.8372667	19.43
Remove	HUMAnN3	FunctionAnnotation	SimulatedData2	320.5797667	19.54
Remove	HUMAnN3	FunctionAnnotation	SimulatedData3	312.3441	19.55
Remove	Megahit	Assembly	SimulatedData1	109.2194	0.866308594
Remove	Megahit	Assembly	SimulatedData2	94.84125	0.870712891
Remove	Megahit	Assembly	SimulatedData3	94.52071667	0.870097656
Remove	Metawrap	Binning	SimulatedData1	135.6403667	68.62
Remove	Metawrap	Binning	SimulatedData2	144.2846667	68.86
Remove	Metawrap	Binning	SimulatedData3	137.4899333	68.62
Remove	drep	RemoveRedundant	SimulatedData1	18.46538333	205.84
Remove	drep	RemoveRedundant	SimulatedData2	22.26133333	205.04
Remove	drep	RemoveRedundant	SimulatedData3	19.25931667	205.01
Remove	gtdbtk	MAGAnnotation	SimulatedData1	31.32163333	424.95
Remove	gtdbtk	MAGAnnotation	SimulatedData2	35.87685	424.32
Remove	gtdbtk	MAGAnnotation	SimulatedData3	35.0748	424.6
Remove	CheckM2	MAGEvaluation	SimulatedData1	19.39791667	9.73
Remove	CheckM2	MAGEvaluation	SimulatedData2	20.64855	9.76
Remove	CheckM2	MAGEvaluation	SimulatedData3	20.79621667	9.73
Remove	prodigal	GenePrediction	SimulatedData1	6.1732	0.047626953
Remove	prodigal	GenePrediction	SimulatedData2	6.1844	0.048164063
Remove	prodigal	GenePrediction	SimulatedData3	6.209766667	0.052802734
Remove	CD-HIT	GeneCluster	SimulatedData1	1.01325	0.572626953
Remove	CD-HIT	GeneCluster	SimulatedData2	1.012633333	0.572333984
Remove	CD-HIT	GeneCluster	SimulatedData3	1.015316667	0.572490234
Remove	salmon	Genequantitfy	SimulatedData1	19.90436667	0.686914063
Remove	salmon	Genequantitfy	SimulatedData2	19.6679	0.6878125
Remove	salmon	Genequantitfy	SimulatedData3	19.82078333	0.687617188
Remove	emapper	GeneAnnotation	SimulatedData1	87.97966667	5.61
Remove	emapper	GeneAnnotation	SimulatedData2	78.5077	5.58
Remove	emapper	GeneAnnotation	SimulatedData3	86.21615	5.58
Microbiome	Kraken2	SpeciesAnnotation	SimulatedData1	2.103933333	148.12
Microbiome	Kraken2	SpeciesAnnotation	SimulatedData2	2.207483333	148.13
Microbiome	Kraken2	SpeciesAnnotation	SimulatedData3	2.201716667	148.12
Microbiome	HUMAnN3	FunctionAnnotation	SimulatedData1	322.85175	19.42
Microbiome	HUMAnN3	FunctionAnnotation	SimulatedData2	317.5466333	19.42
Microbiome	HUMAnN3	FunctionAnnotation	SimulatedData3	314.0388667	19.42
Microbiome	Megahit	Assembly	SimulatedData1	108.3285167	0.866015625
Microbiome	Megahit	Assembly	SimulatedData2	106.3537167	0.86328125
Microbiome	Megahit	Assembly	SimulatedData3	105.0909167	0.870039063
Microbiome	Metawrap	Binning	SimulatedData1	112.22575	68.64
Microbiome	Metawrap	Binning	SimulatedData2	117.8574667	68.89
Microbiome	Metawrap	Binning	SimulatedData3	112.5304833	68.65
Microbiome	drep	RemoveRedundant	SimulatedData1	16.95525	205.81
Microbiome	drep	RemoveRedundant	SimulatedData2	19.16711667	205.07
Microbiome	drep	RemoveRedundant	SimulatedData3	18.34636667	205.02
Microbiome	gtdbtk	MAGAnnotation	SimulatedData1	26.42145	414.27
Microbiome	gtdbtk	MAGAnnotation	SimulatedData2	31.35088333	414.22
Microbiome	gtdbtk	MAGAnnotation	SimulatedData3	30.34875	413.99
