ID	seq10_1_0	seq10_1_1	seq10_1_2	seq10_1_remove0	seq10_1_remove1	seq10_1_remove2	seq10_2_0	seq10_2_1	seq10_2_2	seq10_2_remove0	seq10_2_remove1	seq10_2_remove2	seq10_3_0	seq10_3_1	seq10_3_2	seq10_3_remove0	seq10_3_remove1	seq10_3_remove2
#metaphlan4																		
k__Bacteria	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
k__Bacteria|p__Firmicutes	83.87175	77.01547	77.51641	83.87274	77.01621	77.51641	83.89683	76.97817	77.58297	83.8978	76.97896	77.58315	83.84549	76.93648	77.49085	83.84603	76.93733	77.49109
k__Bacteria|p__Actinobacteria	16.12825	22.98453	22.48359	16.12726	22.98379	22.48359	16.10317	23.02183	22.41703	16.1022	23.02104	22.41685	16.15451	23.06352	22.50915	16.15397	23.06267	22.50891
k__Bacteria|p__Firmicutes|c__Negativicutes	83.87175	77.01547	77.51641	83.87274	77.01621	77.51641	83.89683	76.97817	77.58297	83.8978	76.97896	77.58315	83.84549	76.93648	77.49085	83.84603	76.93733	77.49109
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	16.12825	22.98453	22.48359	16.12726	22.98379	22.48359	16.10317	23.02183	22.41703	16.1022	23.02104	22.41685	16.15451	23.06352	22.50915	16.15397	23.06267	22.50891
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	83.87175	77.01547	77.51641	83.87274	77.01621	77.51641	83.89683	76.97817	77.58297	83.8978	76.97896	77.58315	83.84549	76.93648	77.49085	83.84603	76.93733	77.49109
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	16.12825	22.98453	22.48359	16.12726	22.98379	22.48359	16.10317	23.02183	22.41703	16.1022	23.02104	22.41685	16.15451	23.06352	22.50915	16.15397	23.06267	22.50891
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	83.87175	77.01547	77.51641	83.87274	77.01621	77.51641	83.89683	76.97817	77.58297	83.8978	76.97896	77.58315	83.84549	76.93648	77.49085	83.84603	76.93733	77.49109
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	16.12825	22.98453	22.48359	16.12726	22.98379	22.48359	16.10317	23.02183	22.41703	16.1022	23.02104	22.41685	16.15451	23.06352	22.50915	16.15397	23.06267	22.50891
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus	83.87175	77.01547	77.51641	83.87274	77.01621	77.51641	83.89683	76.97817	77.58297	83.8978	76.97896	77.58315	83.84549	76.93648	77.49085	83.84603	76.93733	77.49109
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella	16.12825	22.98453	22.48359	16.12726	22.98379	22.48359	16.10317	23.02183	22.41703	16.1022	23.02104	22.41685	16.15451	23.06352	22.50915	16.15397	23.06267	22.50891
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans	83.87175	77.01547	77.51641	83.87274	77.01621	77.51641	83.89683	76.97817	77.58297	83.8978	76.97896	77.58315	83.84549	76.93648	77.49085	83.84603	76.93733	77.49109
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	16.12825	22.98453	22.48359	16.12726	22.98379	22.48359	16.10317	23.02183	22.41703	16.1022	23.02104	22.41685	16.15451	23.06352	22.50915	16.15397	23.06267	22.50891
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans|t__SGB5743	83.87175	77.01547	77.51641	83.87274	77.01621	77.51641	83.89683	76.97817	77.58297	83.8978	76.97896	77.58315	83.84549	76.93648	77.49085	83.84603	76.93733	77.49109
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta|t__SGB14809	16.12825	22.98453	22.48359	16.12726	22.98379	22.48359	16.10317	23.02183	22.41703	16.1022	23.02104	22.41685	16.15451	23.06352	22.50915	16.15397	23.06267	22.50891
