KEGG_ko	microbiome1
-	465091.62566
ko:K00001	116.80976
ko:K00003	223.33025
ko:K00004	67.13665
ko:K00005	38.38303
ko:K00008	337.95324999999997
ko:K00009	38.66413
ko:K00010	8.50267
ko:K00012	214.75230000000002
ko:K00013	443.03826000000004
ko:K00014	183.79962
ko:K00015	7.451741
ko:K00016	113.37225
ko:K00018	74.54674
ko:K00020	66.72616
ko:K00023	10.10567
ko:K00024	171.38053
ko:K00027	380.8689
ko:K00029	93.32781
ko:K00030	83.54912
ko:K00031	123.44456
ko:K00033	43.43679
ko:K00034	7.97091
ko:K00036	31.17494
ko:K00038	20.51435
ko:K00040	8.34005
ko:K00041	49.82853
ko:K00042	23.09745
ko:K00045	12.17409
ko:K00046	344.108162
ko:K00048	34.78143
ko:K00052	219.87234
ko:K00053	180.25842
ko:K00057	161.26766
ko:K00058	322.82013
ko:K00059	813.41214
ko:K00060	79.69445999999999
ko:K00064	10.71839
ko:K00065	19.395609999999998
ko:K00067	259.891986
ko:K00068	23.62081
ko:K00073	3.26061
ko:K00074	157.04761
ko:K00075	149.81412
ko:K00076	70.8605
ko:K00077	151.79474
ko:K00082	5.62766
ko:K00086	8.98973
ko:K00087	26.6568
ko:K00088	380.671252
ko:K00091	12.007819999999999
ko:K00096	72.30395999999999
ko:K00097	54.44177
ko:K00099	155.16796
ko:K00102	26.8793
ko:K00104	30.57246
ko:K00111	66.71894
ko:K00112	2.61759
ko:K00113	9.295449999999999
ko:K00121	115.6874
ko:K00123	103.50779
ko:K00124	14.93529
ko:K00127	58.19801999999999
ko:K00128	80.48064
ko:K00130	2.31218
ko:K00131	20.127470000000002
ko:K00132	13.811029999999999
ko:K00133	220.752836
ko:K00134	341.26092
ko:K00135	53.432
ko:K00140	25.295586
ko:K00145	367.09019
ko:K00146	18.41509
ko:K00147	143.18756
ko:K00148	27.3538
ko:K00151	18.41509
ko:K00156	95.58485999999999
ko:K00158	4.88074
ko:K00161	16.57815
ko:K00162	6.52726
ko:K00164	25.567249999999998
ko:K00169	30.52005
ko:K00170	112.93070999999999
ko:K00172	57.11739
ko:K00174	321.59357
ko:K00175	162.83267
ko:K00176	748.46781
ko:K00177	143.23065
ko:K00179	111.138552
ko:K00180	117.60081000000001
ko:K00183	201.40478
ko:K00184	351.27004
ko:K00185	66.08893
ko:K00186	12.92489
ko:K00196	43.807680000000005
ko:K00198	42.27016999999999
ko:K00208	43.185539999999996
ko:K00209	14.93351
ko:K00210	31.4969
ko:K00215	151.14785
ko:K00219	100.38555
ko:K00226	115.51554900000001
ko:K00230	19.55824
ko:K00239	159.0629
ko:K00240	64.92186
ko:K00241	71.47124000000001
ko:K00243	198.14256
ko:K00244	324.00657
ko:K00245	9.172139999999999
ko:K00246	6.45965
ko:K00248	41.20294
ko:K00252	3.49714
ko:K00254	90.64882
ko:K00259	167.169832
ko:K00260	11.9396
ko:K00261	67.21544
ko:K00262	267.17647999999997
ko:K00265	242.489881
ko:K00266	303.59364
ko:K00273	5.90702
ko:K00274	3.61191
ko:K00275	144.73929
ko:K00278	109.27927
ko:K00281	74.81947
ko:K00282	8.52964
ko:K00283	78.67311
ko:K00284	237.930341
ko:K00285	5.66249
ko:K00286	278.72018
ko:K00287	88.54115
ko:K00290	242.74669
ko:K00294	26.88867
ko:K00297	102.81227
ko:K00313	62.26495
ko:K00318	3.06383
ko:K00324	37.78499
ko:K00325	85.53373
ko:K00330	46.538790000000006
ko:K00331	22.66114
ko:K00332	6.7083
ko:K00333	112.32842
ko:K00334	88.55753
ko:K00335	71.364576
ko:K00336	151.09577
ko:K00337	45.825189
ko:K00338	93.11233999999999
ko:K00339	38.9538
ko:K00340	28.998782
ko:K00341	37.94288
ko:K00342	76.81266
ko:K00343	34.538151
ko:K00344	5.95613
ko:K00346	26.31268
ko:K00347	27.028570000000002
ko:K00348	50.49347
ko:K00349	42.30471
ko:K00350	28.79535
ko:K00351	40.23052
ko:K00354	4.45471
ko:K00355	12.616309999999999
ko:K00362	2.99937
ko:K00364	4.07705
ko:K00366	11.6468
ko:K00374	3.3878
ko:K00375	351.67004000000003
ko:K00380	21.24279
ko:K00381	4.34489
ko:K00382	274.09322000000003
ko:K00384	461.02212
ko:K00385	12.0482
ko:K00390	69.65286
ko:K00394	91.63386
ko:K00395	173.563809
ko:K00425	82.355116
ko:K00426	133.15345
ko:K00428	18.1733
ko:K00432	129.79345
ko:K00433	26.32891
ko:K00437	3.769
ko:K00441	142.177
ko:K00459	77.50009
ko:K00483	11.0556
ko:K00484	3.52944
ko:K00505	46.00254
ko:K00520	37.90654
ko:K00525	239.60026
ko:K00526	46.3039
ko:K00528	204.31319000000002
ko:K00531	26.8156
ko:K00533	86.87933
ko:K00534	53.3622
ko:K00537	165.86444
ko:K00547	20.18149
ko:K00548	157.99732
ko:K00549	48.955490000000005
ko:K00554	204.874536
ko:K00556	56.60663
ko:K00558	210.722739
ko:K00560	85.00235
ko:K00563	47.74348
ko:K00564	15.77809
ko:K00566	581.634955
ko:K00567	346.27222
ko:K00568	20.357570000000003
ko:K00571	91.53708
ko:K00574	8.85456
ko:K00575	27.1702
ko:K00588	80.06324000000001
ko:K00590	72.85461
ko:K00595	65.54398
ko:K00598	39.96385
ko:K00600	70.17385
ko:K00602	315.64063
ko:K00603	43.77596
ko:K00604	162.98387
ko:K00605	104.06360000000001
ko:K00606	85.98846999999999
ko:K00609	269.13592
ko:K00610	113.35893
ko:K00611	217.79015
ko:K00612	4.97576
ko:K00613	8.17661
ko:K00615	855.229086
ko:K00616	195.13096000000002
ko:K00620	104.54989
ko:K00625	227.45229
ko:K00626	165.2545
ko:K00627	286.31317
ko:K00632	71.531
ko:K00633	145.76927899999998
ko:K00634	77.64266
ko:K00638	30.696
ko:K00639	109.886601
ko:K00640	325.23785999999996
ko:K00641	7.22555
ko:K00645	312.20758
ko:K00646	6.22053
ko:K00647	71.569379
ko:K00648	309.60484
ko:K00651	133.21817
ko:K00652	54.174498
ko:K00655	281.9383
ko:K00656	495.58891
ko:K00657	180.29493
ko:K00658	295.06294999999994
ko:K00661	385.653711
ko:K00662	19.801470000000002
ko:K00663	9.31448
ko:K00666	136.26372
ko:K00674	36.13489
ko:K00677	52.64871
ko:K00681	49.97466
ko:K00683	6.52219
ko:K00684	9.54076
ko:K00688	481.660044
ko:K00689	11.7491
ko:K00690	60.62201
ko:K00691	158.925704
ko:K00692	4.16177
ko:K00693	61.79813
ko:K00694	27.74332
ko:K00697	41.37876
ko:K00700	274.12865
ko:K00702	46.70901
ko:K00703	94.33955
ko:K00705	520.84794
ko:K00712	18.28565
ko:K00713	6.11666
ko:K00720	19.09186
ko:K00721	22.77621
ko:K00748	74.45029
ko:K00754	42.26779
ko:K00756	10.040510000000001
ko:K00757	134.94504
ko:K00758	10.040510000000001
ko:K00759	168.06603
ko:K00760	199.49743
ko:K00761	577.94728
ko:K00762	288.17163
ko:K00763	140.33093
ko:K00764	436.177092
ko:K00765	154.55138
ko:K00766	152.42314
ko:K00767	99.90570000000001
ko:K00768	544.9549400000001
ko:K00772	10.6818
ko:K00773	214.17061999999999
ko:K00782	87.91122
ko:K00783	219.90810000000002
ko:K00784	170.40416
ko:K00786	2.42259
ko:K00788	197.41548
ko:K00789	209.45186
ko:K00790	224.0836
ko:K00791	241.65926
ko:K00793	99.99577
ko:K00794	93.98712
ko:K00795	4.0768
ko:K00796	122.74844
ko:K00797	83.08519
ko:K00798	29.58049
ko:K00800	389.41032
ko:K00801	6.05517
ko:K00805	217.49678
ko:K00806	236.33097
ko:K00812	274.30638
ko:K00817	277.64745
ko:K00819	86.12973
ko:K00820	190.18127
ko:K00821	298.346962
ko:K00823	24.176800000000004
ko:K00824	4.63886
ko:K00826	131.29665
ko:K00830	3.55152
ko:K00831	128.96096
ko:K00832	21.038
ko:K00833	48.63277
ko:K00835	4.21091
ko:K00842	5.28158
ko:K00844	22.05142
ko:K00845	515.21563
ko:K00847	454.522614
ko:K00848	97.59386
ko:K00849	133.98305
ko:K00850	143.36637
ko:K00851	7.92604
ko:K00852	250.73899
ko:K00853	13.031179999999999
ko:K00854	324.541
ko:K00856	28.9664
ko:K00857	75.85507
ko:K00858	143.763802
ko:K00859	486.03343
ko:K00860	121.20579000000001
ko:K00863	24.115530000000003
ko:K00864	314.81149
ko:K00865	92.25327999999999
ko:K00868	208.57765
ko:K00872	73.03939
ko:K00873	277.27518
ko:K00874	205.69042000000002
ko:K00876	387.61534
ko:K00878	55.67589
ko:K00879	99.92235000000001
ko:K00880	12.01355
ko:K00882	143.11777
ko:K00886	16.42864
ko:K00887	43.13643
ko:K00891	496.51446999999996
ko:K00895	69.55769
ko:K00899	124.25886
ko:K00901	105.8151
ko:K00912	41.77056
ko:K00917	28.4758
ko:K00918	4.17373
ko:K00919	457.16415
ko:K00925	210.07935
ko:K00926	119.16371600000001
ko:K00927	243.755861
ko:K00928	247.46196
ko:K00929	65.1032
ko:K00930	199.728072
ko:K00931	234.76788
ko:K00936	87.14652
ko:K00937	250.34308199999998
ko:K00939	222.26241
ko:K00940	188.06647
ko:K00941	195.89381
ko:K00942	303.35877
ko:K00943	160.13139
ko:K00945	223.28575
ko:K00946	65.48796
ko:K00948	156.98014
ko:K00949	105.07866
ko:K00950	110.74956
ko:K00951	256.97193
ko:K00954	179.09975
ko:K00955	118.88561
ko:K00956	114.41415
ko:K00957	144.90148
ko:K00958	23.1035
ko:K00962	216.56632
ko:K00963	151.67375
ko:K00965	97.80256
ko:K00966	18.17215
ko:K00968	15.85989
ko:K00969	540.2367800000001
ko:K00970	154.0705
ko:K00971	198.36347
ko:K00972	2.27266
ko:K00973	124.856131
ko:K00974	216.00617
ko:K00975	106.00356
ko:K00978	31.465790000000002
ko:K00979	189.32328
ko:K00980	55.74138
ko:K00981	259.94315
ko:K00982	20.414610000000003
ko:K00983	87.54734
ko:K00986	143.89772
ko:K00989	41.59202
ko:K00990	10.40961
ko:K00991	265.803036
ko:K00992	29.4722
ko:K00995	131.54834
ko:K00996	422.996806
ko:K00997	188.88813
ko:K00999	10.8278
ko:K01000	142.82086
ko:K01002	10.44058
ko:K01006	414.894686
ko:K01007	193.59817
ko:K01008	49.19355
ko:K01011	80.91871
ko:K01012	300.44229
ko:K01023	68.26555
ko:K01027	8.02706
ko:K01028	11.831
ko:K01031	3.25809
ko:K01032	4.76897
ko:K01034	3.25809
ko:K01035	4.76897
ko:K01039	14.162500000000001
ko:K01040	13.40385
ko:K01042	63.86581
ko:K01046	11.37949
ko:K01048	109.20925
ko:K01051	146.97414
ko:K01053	2.39478
ko:K01055	16.81358
ko:K01056	178.85593
ko:K01057	40.888329999999996
ko:K01058	9.14025
ko:K01060	133.19101
ko:K01066	45.24608
ko:K01067	34.13749
ko:K01070	62.940441
ko:K01071	174.54491
ko:K01073	41.3129
ko:K01077	153.23079099999998
ko:K01079	40.21203
ko:K01081	109.11528
ko:K01082	83.62974
ko:K01089	45.07884
ko:K01090	11.56532
ko:K01091	527.17367
ko:K01092	103.67979
ko:K01093	4.9836
ko:K01095	46.265170000000005
ko:K01096	16.5176
ko:K01101	50.03297
ko:K01104	398.25758
ko:K01113	6.26368
ko:K01118	82.40797
ko:K01119	127.20964000000001
ko:K01126	452.597977
ko:K01128	6.01813
ko:K01129	293.3961
ko:K01130	353.55785000000003
ko:K01133	10.42427
ko:K01138	42.46984
ko:K01139	120.44927
ko:K01141	5.54924
ko:K01142	145.75515000000001
ko:K01144	47.205921000000004
ko:K01147	36.687979999999996
ko:K01150	5.36995
ko:K01151	127.70639
ko:K01153	360.32092
ko:K01154	2258.323486
ko:K01155	101.72851
ko:K01156	105.70948
ko:K01159	189.59945
ko:K01163	120.51785
ko:K01173	100.14350999999999
ko:K01176	275.89666
ko:K01178	31.36094
ko:K01179	105.960052
ko:K01181	75.05225
ko:K01182	156.724556
ko:K01183	32.188050000000004
ko:K01185	172.829404
ko:K01186	190.09177
ko:K01187	421.692358
ko:K01190	998.487541
ko:K01191	68.80893999999999
ko:K01192	208.9957
ko:K01193	144.73856
ko:K01194	3.29234
ko:K01195	15.7675
ko:K01197	116.69816
ko:K01198	99.701992
ko:K01200	130.35153
ko:K01201	57.197371000000004
ko:K01205	78.77138000000001
ko:K01206	368.91313
ko:K01207	190.02699
ko:K01208	180.06683999999998
ko:K01209	260.321802
ko:K01210	16.64163
ko:K01214	83.60203
ko:K01215	27.76306
ko:K01218	18.25479
ko:K01220	17.22095
ko:K01222	65.80696
ko:K01223	69.01449
ko:K01224	97.70586
ko:K01226	34.24265
ko:K01227	8.3171
ko:K01232	54.55043
ko:K01233	2.76936
ko:K01235	68.359786
ko:K01239	55.17938
ko:K01241	24.38563
ko:K01243	84.939232
ko:K01246	197.61376
ko:K01247	24.43118
ko:K01250	50.49154
ko:K01251	158.09568
ko:K01253	13.2533
ko:K01255	43.99141
ko:K01256	74.293
ko:K01258	248.41031999999998
ko:K01259	47.0081
ko:K01262	359.39964100000003
ko:K01265	353.68029
ko:K01266	9.88924
ko:K01267	71.90215
ko:K01270	201.379809
ko:K01271	122.11694
ko:K01273	138.71453
ko:K01274	68.01106
ko:K01277	94.159124
ko:K01278	213.717802
ko:K01284	159.43167
ko:K01286	209.80749
ko:K01295	45.27218
ko:K01297	24.87625
ko:K01299	46.134209999999996
ko:K01304	77.59696
ko:K01305	6.79139
ko:K01308	3.35195
ko:K01322	24.53519
ko:K01337	26.35381
ko:K01338	413.933772
ko:K01342	9.141449999999999
ko:K01354	10.00348
ko:K01356	230.82007
ko:K01358	307.15289
ko:K01361	8.1937
ko:K01364	8.87936
ko:K01372	208.01111
ko:K01387	5.52697
ko:K01389	10.30987
ko:K01409	367.47009099999997
ko:K01414	108.33979
ko:K01415	75.24061
ko:K01420	91.53320000000001
ko:K01421	148.1677
ko:K01424	333.983722
ko:K01425	70.43995
ko:K01426	82.57661
ko:K01428	24.2637
ko:K01429	51.84893
ko:K01430	42.09425
ko:K01431	5.84317
ko:K01433	8.56644
ko:K01436	15.95181
ko:K01438	236.30656
ko:K01439	400.89845
ko:K01442	319.87627000000003
ko:K01443	1377.79447
ko:K01444	27.76056
ko:K01447	263.428402
ko:K01448	474.266469
ko:K01449	115.07389
ko:K01457	13.64648
ko:K01460	3.62279
ko:K01462	347.26631
ko:K01463	28.81469
ko:K01464	21.23679
ko:K01465	207.54794
ko:K01468	36.65078
ko:K01469	4.07109
ko:K01470	147.96336
ko:K01476	59.981970000000004
ko:K01478	57.17654
ko:K01480	118.46953
ko:K01482	16.87403
ko:K01485	20.01673
ko:K01486	92.45665000000001
ko:K01487	89.81702
ko:K01488	18.56822
ko:K01489	337.86763
ko:K01491	216.07873899999998
