KEGG_ko	anonymous_reads0
-	221668.61371
ko:K00001	12.304787
ko:K00002	3.039044
ko:K00003	11.627427
ko:K00004	0.399534
ko:K00005	2.860613
ko:K00006	2.046428
ko:K00008	31.353455
ko:K00009	2.397725
ko:K00010	0.872676
ko:K00011	3.247141
ko:K00012	21.672781
ko:K00013	25.8598
ko:K00014	11.693461
ko:K00015	1.247163
ko:K00016	9.941578
ko:K00018	8.581849
ko:K00019	1.210269
ko:K00020	3.671824
ko:K00023	0.328202
ko:K00024	6.493415000000001
ko:K00025	0.235118
ko:K00027	22.996668
ko:K00029	4.735212
ko:K00030	4.509272
ko:K00031	9.949071
ko:K00033	2.635268
ko:K00034	1.7970080000000002
ko:K00036	3.92162
ko:K00038	0.6024039999999999
ko:K00040	0.887072
ko:K00041	2.618111
ko:K00042	0.8522719999999999
ko:K00045	0.581747
ko:K00046	28.271846
ko:K00048	2.133381
ko:K00049	4.3839
ko:K00052	21.052251
ko:K00053	17.729496
ko:K00057	16.268651000000002
ko:K00058	25.234217
ko:K00059	46.307083
ko:K00060	4.67731
ko:K00064	0.647613
ko:K00065	0.768193
ko:K00067	10.815186
ko:K00068	1.480798
ko:K00071	2.126308
ko:K00073	0.285873
ko:K00074	8.354411
ko:K00075	17.484538
ko:K00076	3.673692
ko:K00077	9.518155
ko:K00082	0.409074
ko:K00086	0.656574
ko:K00087	1.021085
ko:K00088	24.457794
ko:K00091	0.683755
ko:K00096	3.222167
ko:K00097	2.681897
ko:K00099	16.141263000000002
ko:K00102	2.475337
ko:K00104	1.874277
ko:K00111	9.795863
ko:K00112	0.202264
ko:K00113	0.160926
ko:K00121	13.780145000000001
ko:K00123	8.510692
ko:K00124	2.7361850000000003
ko:K00127	5.539460999999999
ko:K00128	6.592119
ko:K00130	0.246565
ko:K00131	1.213173
ko:K00132	3.13601
ko:K00133	13.786196
ko:K00134	27.851839
ko:K00135	0.680421
ko:K00140	2.9444660000000002
ko:K00142	2.7213030000000002
ko:K00145	17.980034
ko:K00146	1.097782
ko:K00147	9.82427
ko:K00148	1.58166
ko:K00151	1.097782
ko:K00156	6.229794
ko:K00158	0.213531
ko:K00161	1.319543
ko:K00162	0.358365
ko:K00164	0.880039
ko:K00169	4.362795
ko:K00170	6.449908000000001
ko:K00172	2.756929
ko:K00174	17.813692
ko:K00175	9.960234
ko:K00176	43.410396999999996
ko:K00177	8.073654
ko:K00179	8.707413
ko:K00180	3.695589
ko:K00183	9.977235
ko:K00184	9.052061
ko:K00185	7.83187
ko:K00186	0.342542
ko:K00196	1.987757
ko:K00198	2.107638
ko:K00208	3.57814
ko:K00209	1.449303
ko:K00210	3.768371
ko:K00215	11.048952
ko:K00219	4.014044999999999
ko:K00225	0.14959
ko:K00226	4.205202
ko:K00230	1.73914
ko:K00232	0.0
ko:K00234	14.62718
ko:K00237	0.789381
ko:K00239	6.946438
ko:K00240	3.653182
ko:K00241	3.333175
ko:K00243	5.655104000000001
ko:K00244	26.637705999999998
ko:K00245	0.615326
ko:K00246	0.278277
ko:K00248	5.089036
ko:K00249	2.44809
ko:K00252	0.176478
ko:K00254	7.209936000000001
ko:K00259	3.862564
ko:K00260	0.652374
ko:K00261	3.741512
ko:K00262	10.359587
ko:K00265	13.142725
ko:K00266	25.176838
ko:K00272	95.6697
ko:K00273	95.82872800000001
ko:K00274	17.093629
ko:K00275	0.788647
ko:K00277	0.208097
ko:K00278	9.976886
ko:K00280	0.208097
ko:K00281	8.630709
ko:K00282	3.3848219999999998
ko:K00283	6.002967
ko:K00284	12.853397
ko:K00285	0.349143
ko:K00286	17.994145
ko:K00287	10.942464
ko:K00288	1.3052620000000001
ko:K00289	1.19146
ko:K00290	9.497658
ko:K00294	1.959664
ko:K00297	8.722759
ko:K00313	0.756725
ko:K00315	0.139724
ko:K00318	0.891833
ko:K00323	3.88911
ko:K00324	4.424005
ko:K00325	0.844293
ko:K00330	2.204717
ko:K00331	1.326042
ko:K00332	0.462573
ko:K00333	2.854416
ko:K00334	4.994574
ko:K00335	4.587532
ko:K00336	10.769798
ko:K00337	1.358189
ko:K00338	5.048306999999999
ko:K00339	6.846608
ko:K00340	3.924785
ko:K00341	1.613746
ko:K00342	1.748611
ko:K00343	2.124545
ko:K00344	2.398645
ko:K00346	2.225573
ko:K00347	1.7911679999999999
ko:K00348	1.17224
ko:K00349	1.937565
ko:K00350	9.342533999999999
ko:K00351	5.786734
ko:K00354	0.255093
ko:K00355	3.043087
ko:K00362	0.199493
ko:K00364	4.36128
ko:K00366	0.607611
ko:K00374	0.145794
ko:K00375	21.988044
ko:K00380	0.695009
ko:K00381	0.596096
ko:K00382	21.409556
ko:K00384	22.455841
ko:K00385	0.765734
ko:K00390	6.098637
ko:K00394	5.801146
ko:K00395	9.719894
ko:K00412	1.142379
ko:K00420	0.292844
ko:K00425	4.536623
ko:K00426	2.451549
ko:K00428	1.967009
ko:K00431	1.06067
ko:K00432	6.747707
ko:K00433	0.955591
ko:K00437	0.47043100000000004
ko:K00441	9.56213
ko:K00452	0.739978
ko:K00459	2.375709
ko:K00461	0.0
ko:K00478	1.077756
ko:K00483	0.62673
ko:K00484	0.592969
ko:K00490	5.86429
ko:K00504	8.918918
ko:K00505	1.1841760000000001
ko:K00511	0.765939
ko:K00513	8.454314
ko:K00515	13.32879
ko:K00520	5.293338
ko:K00522	6.767085
ko:K00525	11.548542000000001
ko:K00526	3.125871
ko:K00528	10.958289
ko:K00531	0.839343
ko:K00533	5.268946
ko:K00534	3.65347
ko:K00537	8.949578
ko:K00541	0.197695
ko:K00542	1.078403
ko:K00543	1.7599699999999998
ko:K00544	0.643647
ko:K00547	3.326938
ko:K00548	13.374037
ko:K00549	2.772161
ko:K00554	10.968094
ko:K00555	0.208097
ko:K00556	3.403703
ko:K00558	14.962419
ko:K00560	4.668778
ko:K00562	0.197695
ko:K00563	1.461852
ko:K00564	3.242962
ko:K00565	7.3751489999999995
ko:K00566	33.999114999999996
ko:K00567	12.846127
ko:K00568	1.471303
ko:K00571	2.377182
ko:K00573	93.916316
ko:K00574	0.54603
ko:K00575	3.235693
ko:K00588	3.992959
ko:K00590	6.58335
ko:K00591	1.43616
ko:K00595	3.189844
ko:K00598	1.014541
ko:K00600	7.3369
ko:K00602	14.623586
ko:K00603	5.863885
ko:K00604	17.015966
ko:K00605	5.310085
ko:K00606	5.36072
ko:K00609	11.307758999999999
ko:K00610	5.149868000000001
ko:K00611	15.689095
ko:K00612	0.315072
ko:K00613	0.438971
ko:K00615	51.075093
ko:K00616	14.633516
ko:K00620	9.260917
ko:K00622	0.279781
ko:K00625	11.193706
ko:K00626	7.686963
ko:K00627	11.134038
ko:K00629	9.010814
ko:K00632	4.39723
ko:K00633	15.40445
ko:K00634	2.735938
ko:K00638	2.38832
ko:K00639	7.442571
ko:K00640	16.11137
ko:K00641	0.448723
ko:K00643	0.718082
ko:K00645	14.679053000000001
ko:K00646	0.312885
ko:K00647	4.573364
ko:K00648	8.607212
ko:K00649	1.43616
ko:K00650	2.578678
ko:K00651	7.130027
ko:K00652	5.92853
ko:K00653	35.278468
ko:K00654	1.9791750000000001
ko:K00655	18.416985
ko:K00656	31.365893
ko:K00657	6.5937090000000005
ko:K00658	11.814975
ko:K00661	24.057933
ko:K00662	0.343521
ko:K00663	0.574557
ko:K00665	4.135746
ko:K00666	7.1531400000000005
ko:K00671	15.446497
ko:K00674	1.523316
ko:K00677	4.629246
ko:K00681	3.7089790000000002
ko:K00682	4.3122799999999994
ko:K00683	0.416519
ko:K00684	1.7735059999999998
ko:K00688	26.942509
ko:K00689	1.06156
ko:K00690	2.28733
ko:K00691	6.994849
ko:K00692	0.274572
ko:K00693	4.397762
ko:K00694	2.834842
ko:K00697	0.47208300000000003
ko:K00699	88.426747
ko:K00700	19.681943
ko:K00702	1.669942
ko:K00703	3.823846
ko:K00705	40.986413
ko:K00710	18.508996
ko:K00712	1.2760630000000002
ko:K00713	0.319699
ko:K00715	0.33761
ko:K00716	0.435701
ko:K00717	0.0
ko:K00720	0.212893
ko:K00721	6.4767
ko:K00725	4.89617
ko:K00726	0.198201
ko:K00727	0.229926
ko:K00733	0.573954
ko:K00735	2.07585
ko:K00736	0.051699
ko:K00738	12.471122000000001
ko:K00742	5.5238879999999995
ko:K00746	1.8066879999999998
ko:K00747	1.141626
ko:K00748	3.579776
ko:K00750	9018.901515
ko:K00752	2.2348440000000003
ko:K00753	0.647602
ko:K00754	0.199283
ko:K00756	1.841738
ko:K00757	29.834056999999998
ko:K00758	1.841738
ko:K00759	16.66387
ko:K00760	13.105361
ko:K00761	34.638167
ko:K00762	13.879562
ko:K00763	13.445784
ko:K00764	49.74418
ko:K00765	12.177444
ko:K00766	8.951181
ko:K00767	10.515183
ko:K00768	28.640027
ko:K00771	1.82536
ko:K00772	1.8916
ko:K00773	13.375739000000001
ko:K00774	2.909445
ko:K00780	6.809241
ko:K00781	1.05041
ko:K00782	4.565054
ko:K00783	13.352415
ko:K00784	7.576332
ko:K00786	0.366672
ko:K00787	0.258759
ko:K00788	12.258967
ko:K00789	13.510691
ko:K00790	9.985237
ko:K00791	11.753428
ko:K00793	13.200576
ko:K00794	5.7011590000000005
ko:K00795	0.409935
ko:K00796	5.678184
ko:K00797	7.761844
ko:K00798	3.361267
ko:K00799	236.546495
ko:K00800	14.051331
ko:K00801	4.198051
ko:K00802	5.25664
ko:K00805	13.083236
ko:K00806	12.365646
ko:K00807	0.171894
ko:K00812	11.789692
ko:K00815	0.21013
ko:K00817	17.361957
ko:K00819	1.37934
ko:K00820	17.233058
ko:K00821	20.948578
ko:K00823	0.518178
ko:K00824	0.238118
ko:K00826	8.733585
ko:K00827	1.521002
ko:K00830	0.249104
ko:K00831	9.360686
ko:K00832	1.178147
ko:K00833	4.357355
ko:K00835	0.251623
ko:K00842	0.354603
ko:K00844	27.245483
ko:K00845	34.586228
ko:K00847	18.975157
ko:K00848	1.367044
ko:K00849	9.659485
ko:K00850	10.592473
ko:K00851	0.398947
ko:K00852	13.777096
ko:K00853	0.9016230000000001
ko:K00854	18.024759
ko:K00856	7.947675
ko:K00857	11.838363
ko:K00858	8.016387
ko:K00859	25.449388000000003
ko:K00860	4.687765000000001
ko:K00863	0.37826499999999996
ko:K00864	31.093189
ko:K00865	5.858085
ko:K00868	84.397316
ko:K00869	5.374369
ko:K00871	469.74757
ko:K00872	4.398792
ko:K00873	14.410995
ko:K00874	13.304942
ko:K00876	10.229194
ko:K00878	2.774273
ko:K00879	1.342706
ko:K00880	0.607823
ko:K00882	16.607174999999998
ko:K00886	1.899856
ko:K00887	2.4053839999999997
ko:K00889	15.744761
ko:K00891	61.70486
ko:K00895	1.564354
ko:K00898	0.365451
ko:K00899	7.899736
ko:K00901	7.04323
ko:K00907	22.450187
ko:K00911	0.0
ko:K00912	5.966253
ko:K00913	0.423802
ko:K00917	1.58699
ko:K00918	0.767069
ko:K00919	31.919128
ko:K00920	1.078079
ko:K00925	12.780452
ko:K00926	8.57476
ko:K00927	13.653457
ko:K00928	13.968083
ko:K00929	2.434264
ko:K00930	19.099825
ko:K00931	14.761973000000001
ko:K00933	24.796685
ko:K00936	5.689769999999999
ko:K00937	13.595616
ko:K00939	19.660635
ko:K00940	7.873307
ko:K00941	15.662891
ko:K00942	18.314892
ko:K00943	5.614696
ko:K00944	2.983339
ko:K00945	21.042821999999997
ko:K00946	5.749156
ko:K00948	14.841116
ko:K00949	10.033409
ko:K00950	10.861362
ko:K00951	15.68867
ko:K00954	9.010404999999999
ko:K00955	5.7239119999999994
ko:K00956	5.449869
ko:K00957	7.168429
ko:K00962	15.456223
ko:K00963	7.771139000000001
ko:K00965	5.555783
ko:K00966	1.09408
ko:K00967	0.0
ko:K00968	3.108426
ko:K00969	25.988596
ko:K00970	8.215335
ko:K00971	9.247972
ko:K00972	1.087101
ko:K00973	14.793222
ko:K00974	12.662061
ko:K00975	10.065556
ko:K00976	2.737502
ko:K00978	0.901122
ko:K00979	10.333335
ko:K00980	3.429378
