KEGG_ko	anonymous_reads0
-	471605.052707
ko:K00001	216.17732999999998
ko:K00003	181.24952
ko:K00004	6.88804
ko:K00005	49.300855
ko:K00008	390.10445
ko:K00009	40.97067
ko:K00010	15.067779999999999
ko:K00012	288.82335
ko:K00013	445.91802
ko:K00014	159.43644
ko:K00015	21.76013
ko:K00016	172.14028
ko:K00018	148.18358
ko:K00020	63.173869999999994
ko:K00023	5.65632
ko:K00024	115.64179
ko:K00027	381.93784
ko:K00029	66.63348
ko:K00030	77.70593
ko:K00031	144.23242
ko:K00033	227.12161
ko:K00034	9.67876
ko:K00036	67.81016
ko:K00038	10.38156
ko:K00040	15.28749
ko:K00041	80.34894
ko:K00042	14.57987
ko:K00045	10.024809999999999
ko:K00046	490.23857
ko:K00048	36.78282
ko:K00052	360.39481
ko:K00053	274.922825
ko:K00057	275.33735
ko:K00058	390.35006
ko:K00059	891.56116
ko:K00060	80.6022
ko:K00064	5.183400000000001
ko:K00065	13.23865
ko:K00067	155.779829
ko:K00068	25.531959999999998
ko:K00073	4.92626
ko:K00074	144.00304
ko:K00075	268.85325
ko:K00076	11.96858
ko:K00077	164.4048
ko:K00082	7.05018
ko:K00086	11.3142
ko:K00087	10.576830000000001
ko:K00088	276.75771
ko:K00091	11.78295
ko:K00096	55.527570000000004
ko:K00097	55.73952
ko:K00099	289.26225999999997
ko:K00102	28.4486
ko:K00104	32.297200000000004
ko:K00111	172.61147
ko:K00112	3.48543
ko:K00113	2.7731
ko:K00121	141.6687
ko:K00123	105.901288
ko:K00124	47.42138
ko:K00127	46.750249
ko:K00128	122.10638
ko:K00130	4.24873
ko:K00131	20.90514
ko:K00132	54.551950000000005
ko:K00133	206.137024
ko:K00134	260.81259
ko:K00135	11.7249
ko:K00140	41.07529
ko:K00145	208.74458
ko:K00146	19.740070000000003
ko:K00147	174.03835
ko:K00148	27.2557
ko:K00151	19.740070000000003
ko:K00156	78.2528
ko:K00158	3.67945
ko:K00161	15.16903
ko:K00162	6.17564
ko:K00164	14.36917
ko:K00169	75.37047
ko:K00170	111.21657
ko:K00172	47.52266
ko:K00174	301.9893
ko:K00175	171.77239
ko:K00176	761.32364
ko:K00177	131.05685
ko:K00179	154.844065
ko:K00180	63.507649
ko:K00183	171.08325
ko:K00184	151.64505
ko:K00185	135.54646
ko:K00186	5.90593
ko:K00196	38.2077
ko:K00198	36.31779
ko:K00208	68.16261
ko:K00209	12.661529999999999
ko:K00210	61.24395
ko:K00215	165.33081
ko:K00219	65.23219
ko:K00226	80.386679
ko:K00230	29.69965
ko:K00239	119.95362
ko:K00240	62.88575
ko:K00241	57.62696
ko:K00243	97.32334
ko:K00244	448.07078
ko:K00245	10.60445
ko:K00246	4.79568
ko:K00248	88.39761
ko:K00252	3.04113
ko:K00254	39.84102
ko:K00259	66.57914
ko:K00260	11.2418
ko:K00261	35.42241
ko:K00262	187.93461
ko:K00265	222.938159
ko:K00266	382.244819
ko:K00273	2.23238
ko:K00274	25.70077
ko:K00275	14.04946
ko:K00278	179.00492
ko:K00281	120.564265
ko:K00282	9.618739
ko:K00283	126.064025
ko:K00284	217.952859
ko:K00285	6.01647
ko:K00286	234.23928
ko:K00287	177.71904999999998
ko:K00288	0.0
ko:K00290	180.44543
ko:K00294	55.6376
ko:K00297	150.32466
ko:K00313	13.039860000000001
ko:K00318	15.41561
ko:K00324	76.3395
ko:K00325	14.54861
ko:K00330	39.55943
ko:K00331	21.365830000000003
ko:K00332	7.97303
ko:K00333	48.855329999999995
ko:K00334	37.366059
ko:K00335	79.60247
ko:K00336	144.20702400000002
ko:K00337	23.40838
ko:K00338	87.11381
ko:K00339	118.68227999999999
ko:K00340	67.37823
ko:K00341	40.1005
ko:K00342	31.33025
ko:K00343	47.017559999999996
ko:K00344	6.39199
ko:K00346	33.15122
ko:K00347	38.66586
ko:K00348	25.76369
ko:K00349	33.411519999999996
ko:K00350	164.42448
ko:K00351	131.06948
ko:K00354	4.39592
ko:K00355	12.467880000000001
ko:K00362	3.43789
ko:K00364	4.9052
ko:K00366	10.4701
ko:K00374	12.45996
ko:K00375	364.11822
ko:K00380	11.98132
ko:K00381	9.025269999999999
ko:K00382	368.45885
ko:K00384	385.60790000000003
ko:K00385	13.1958
ko:K00390	105.36273
ko:K00394	95.60291
ko:K00395	167.7287
ko:K00425	84.11666
ko:K00426	42.23228
ko:K00428	48.0462
ko:K00432	61.959039000000004
ko:K00433	16.46818
ko:K00437	8.11936
ko:K00441	162.949
ko:K00459	41.08024
ko:K00483	10.7997
ko:K00484	10.2219
ko:K00505	8.90202
ko:K00520	91.55040000000001
ko:K00525	189.74042
ko:K00526	55.17835
ko:K00528	206.06218
ko:K00531	14.483
ko:K00533	90.63029999999999
ko:K00534	63.0391
ko:K00537	154.75886
ko:K00547	16.74365
ko:K00548	162.684909
ko:K00549	47.770759999999996
ko:K00554	189.13654
ko:K00556	58.67788
ko:K00558	258.53688
ko:K00560	72.78174
ko:K00563	25.19301
ko:K00564	56.15527
ko:K00566	606.59447
ko:K00567	217.33949
ko:K00568	25.44834
ko:K00571	49.69585
ko:K00574	9.409229999999999
ko:K00575	58.43843
ko:K00588	69.03457
ko:K00590	117.81224
ko:K00595	55.24778
ko:K00598	17.48458
ko:K00600	112.57553
ko:K00602	249.97173999999998
ko:K00603	94.69695
ko:K00604	204.30245
ko:K00605	91.65477
ko:K00606	74.79666
ko:K00609	189.79703
ko:K00610	90.0549
ko:K00611	223.43576
ko:K00612	5.42965
ko:K00613	7.56448
ko:K00615	725.21559
ko:K00616	275.53063000000003
ko:K00620	109.119039
ko:K00625	188.70932
ko:K00626	132.47944
ko:K00627	180.24636999999998
ko:K00632	75.7902
ko:K00633	266.89333
ko:K00634	47.430969999999995
ko:K00638	41.1632
ko:K00639	130.41844
ko:K00640	277.83601
ko:K00641	7.732620000000001
ko:K00645	253.2994
ko:K00646	5.39168
ko:K00647	83.85767
ko:K00648	138.0328
ko:K00651	150.6562
ko:K00652	117.26324
ko:K00655	304.1099
ko:K00656	558.1969799999999
ko:K00657	114.14228
ko:K00658	191.1921
ko:K00661	380.76882
ko:K00662	5.92016
ko:K00663	9.90358
ko:K00666	112.47333
ko:K00674	26.25375
ko:K00677	79.82794
ko:K00681	21.524729999999998
ko:K00683	7.17796
ko:K00684	30.71461
ko:K00688	463.90863
ko:K00689	18.3024
ko:K00690	39.3263
ko:K00691	97.06861
ko:K00692	4.73136
ko:K00693	90.9372
ko:K00694	48.93887
ko:K00697	8.13509
ko:K00700	295.96
ko:K00702	16.73812
ko:K00703	77.93691
ko:K00705	769.16265
ko:K00712	21.9999
ko:K00713	5.50906
ko:K00720	3.62147
ko:K00721	29.336144
ko:K00748	62.76775
ko:K00754	12.55008
ko:K00756	32.122800000000005
ko:K00757	253.90443
ko:K00758	32.122800000000005
ko:K00759	279.26917
ko:K00760	226.43111
ko:K00761	597.33511
ko:K00762	239.23510000000002
ko:K00763	199.198754
ko:K00764	448.314529
ko:K00765	214.411515
ko:K00766	156.11461
ko:K00767	172.12066000000002
ko:K00768	489.73799
ko:K00772	13.5291
ko:K00773	233.80577
ko:K00782	81.97972
ko:K00783	235.59942
ko:K00784	131.44772
ko:K00786	6.321910000000001
ko:K00788	209.343099
ko:K00789	209.68227
ko:K00790	146.424675
ko:K00791	203.91214
ko:K00793	184.460209
ko:K00794	76.0895
ko:K00795	7.06532
ko:K00796	98.0568
ko:K00797	109.6082
ko:K00798	58.07773
ko:K00800	248.53071
ko:K00801	4.36321
ko:K00805	225.63757999999999
ko:K00806	213.44584
ko:K00812	193.90899
ko:K00817	291.71987
ko:K00819	27.45548
ko:K00820	189.549274
ko:K00821	330.836228
ko:K00823	15.94336
ko:K00824	4.10351
ko:K00826	141.82022
ko:K00830	4.29269
ko:K00831	130.43931
ko:K00832	20.30188
ko:K00833	110.44344000000001
ko:K00835	4.33597
ko:K00842	6.11057
ko:K00844	10.18132
ko:K00845	614.50568
ko:K00847	318.579545
ko:K00848	23.16129
ko:K00849	199.3228
ko:K00850	181.50067
ko:K00851	6.87667
ko:K00852	250.437635
ko:K00853	15.88552
ko:K00854	306.20358
ko:K00856	31.0903
ko:K00857	157.28606
ko:K00858	118.55342999999999
ko:K00859	439.59783
ko:K00860	80.52281
ko:K00863	6.671939999999999
ko:K00864	592.9050900000001
ko:K00865	92.80301
ko:K00868	169.04964
ko:K00872	76.27106
ko:K00873	241.05187899999999
ko:K00874	233.72955000000002
ko:K00876	163.753
ko:K00878	47.81317
ko:K00879	22.54203
ko:K00880	10.48
ko:K00882	279.63081999999997
ko:K00886	32.81655
ko:K00887	44.150679999999994
ko:K00891	933.7753
ko:K00895	25.89915
ko:K00899	135.37083
ko:K00901	99.10815
ko:K00912	87.16816
ko:K00917	27.3486
ko:K00918	13.22874
ko:K00919	545.64518
ko:K00925	228.42175
ko:K00926	123.82601
ko:K00927	241.22815
ko:K00928	217.88894
ko:K00929	43.39722
ko:K00930	315.48902
ko:K00931	256.89795
ko:K00936	98.1089
ko:K00937	188.298415
ko:K00939	212.47819
ko:K00940	96.86392
ko:K00941	223.30486
ko:K00942	347.22816
ko:K00943	149.7476
ko:K00945	217.444899
ko:K00946	101.61309
ko:K00948	187.883139
ko:K00949	153.97478999999998
ko:K00950	176.76896
ko:K00951	244.33147
ko:K00954	155.33104
ko:K00955	91.96560000000001
ko:K00956	87.24344
ko:K00957	115.45921
ko:K00962	262.594809
ko:K00963	134.13988
ko:K00965	86.02516
ko:K00966	18.85603
ko:K00968	19.18246
ko:K00969	420.32706
ko:K00970	134.13078
ko:K00971	157.10978
ko:K00972	9.23181
ko:K00973	307.77434
ko:K00974	210.67229
ko:K00975	196.34869
ko:K00978	15.542359999999999
ko:K00979	198.07593
ko:K00980	59.1405
ko:K00981	232.07352
ko:K00982	14.82831
ko:K00983	76.54576
ko:K00986	317.0672
ko:K00989	38.4226
ko:K00990	11.36459
ko:K00991	347.28809
ko:K00992	30.6033
ko:K00995	147.72615
ko:K00996	217.11175
ko:K00997	138.52559
ko:K00999	6.98063
ko:K01000	140.200049
ko:K01002	11.14294
ko:K01006	221.95012
ko:K01007	253.72812000000002
ko:K01008	94.42305
ko:K01011	58.60967
ko:K01012	357.53630999999996
ko:K01023	178.28278999999998
ko:K01027	8.17822
ko:K01028	15.77262
ko:K01031	5.52012
ko:K01032	2.6581
ko:K01034	5.52012
ko:K01035	2.6581
ko:K01039	14.77705
ko:K01040	15.724730000000001
ko:K01042	64.62357
ko:K01046	4.34776
ko:K01048	63.16006
ko:K01051	247.25363
ko:K01053	1.67731
ko:K01055	7.14862
ko:K01056	191.29321
ko:K01057	28.669430000000002
ko:K01058	7.599590000000001
ko:K01060	117.74021
ko:K01066	52.600950000000005
ko:K01067	20.81463
ko:K01070	121.219339
ko:K01071	264.12187
ko:K01073	47.9778
ko:K01077	150.84585
ko:K01079	79.3989
ko:K01081	84.33418
ko:K01082	100.76973000000001
ko:K01089	52.87831
ko:K01090	7.9663900000000005
ko:K01091	506.3377
ko:K01092	131.08331
ko:K01093	4.8393
ko:K01095	52.10467
ko:K01096	14.8993
ko:K01101	51.594978
ko:K01104	586.01183
ko:K01113	11.9912
ko:K01118	58.6092
ko:K01119	177.07969
ko:K01126	368.44117
ko:K01128	5.64533
ko:K01129	173.21266
ko:K01130	298.81201
ko:K01133	5.6309000000000005
ko:K01138	36.78367
ko:K01139	136.00988999999998
ko:K01141	6.60914
ko:K01142	314.15337
ko:K01144	49.16824
ko:K01147	26.1708
ko:K01150	8.55135
ko:K01151	175.48913
ko:K01153	348.79717
ko:K01154	1406.099989
ko:K01155	83.53954
ko:K01156	113.19588900000001
ko:K01159	201.385699
ko:K01163	156.9063
ko:K01173	114.76660000000001
ko:K01176	294.26209
ko:K01178	24.40773
ko:K01179	140.67042
ko:K01181	17.261760000000002
ko:K01182	341.1166
ko:K01183	21.387430000000002
ko:K01185	267.495459
ko:K01186	88.15666
ko:K01187	469.045799
ko:K01190	1138.668579
ko:K01191	62.5645
ko:K01192	149.39788
ko:K01193	121.31627999999999
ko:K01194	2.83583
ko:K01195	34.304500000000004
ko:K01197	66.00475
ko:K01198	105.036028
ko:K01200	85.02076
ko:K01201	99.17972
ko:K01205	80.67513
ko:K01206	381.4002
ko:K01207	178.66948
ko:K01208	189.88908
ko:K01209	194.34163800000002
ko:K01210	16.35902
ko:K01214	215.89706
ko:K01215	125.83491000000001
ko:K01218	45.1128
ko:K01220	6.91721
ko:K01222	106.53841
ko:K01223	85.238189
ko:K01224	113.54102
ko:K01226	122.87343000000001
ko:K01227	7.4459
ko:K01232	81.67517
ko:K01233	19.796419999999998
ko:K01235	23.97278
ko:K01239	53.61756
ko:K01241	30.25752
ko:K01243	113.0606
ko:K01246	141.89248
ko:K01247	17.79784
ko:K01250	35.89682
ko:K01251	56.79934
ko:K01253	12.9233
ko:K01255	31.794780000000003
ko:K01256	50.320194
ko:K01258	288.683088
ko:K01259	95.47095999999999
ko:K01262	298.567295
ko:K01265	389.94646
ko:K01266	8.75957
ko:K01267	78.28363
ko:K01270	140.99572
ko:K01271	41.31333
ko:K01273	109.72176999999999
ko:K01274	36.26666
ko:K01277	51.30096
ko:K01278	326.98557999999997
ko:K01284	162.20454
ko:K01286	265.89895
ko:K01295	39.14229
ko:K01297	45.19478
ko:K01299	35.43437
ko:K01304	67.19471
ko:K01305	7.29528
ko:K01308	5.26535
ko:K01322	27.99134
ko:K01337	49.00567
ko:K01338	345.40313
ko:K01342	30.58251
ko:K01354	10.30102
ko:K01356	206.38794000000001
ko:K01358	324.486755
ko:K01361	139.11506
ko:K01364	17.82415
ko:K01372	208.11223
ko:K01387	4.29886
ko:K01389	10.13825
ko:K01409	341.31981
ko:K01414	90.84422
ko:K01415	75.049
ko:K01420	112.68362
ko:K01421	270.04852
ko:K01424	308.932999
ko:K01425	82.01795
ko:K01426	45.927279999999996
ko:K01428	20.2706
ko:K01429	68.8539
ko:K01430	33.8188
ko:K01431	8.53777
ko:K01433	40.58892
ko:K01436	17.09523
ko:K01438	363.223828
ko:K01439	434.80949
ko:K01442	240.79197
ko:K01443	523.98879
ko:K01444	30.43598
ko:K01447	357.87639
ko:K01448	552.476685
ko:K01449	99.663959
ko:K01457	11.80039
ko:K01460	3.13339
ko:K01462	382.593654
ko:K01463	2.86686
ko:K01464	30.05449
ko:K01465	198.005913
ko:K01468	44.37357
ko:K01469	3.91126
ko:K01470	57.79695
ko:K01476	59.24629
ko:K01478	113.99647399999999
ko:K01480	149.65209
ko:K01482	12.13795
ko:K01485	17.5717
ko:K01486	140.01878
ko:K01487	19.85259
ko:K01488	19.71441
ko:K01489	246.30544
ko:K01491	133.7959
ko:K01493	164.10762
ko:K01494	111.56821
ko:K01495	63.41326
ko:K01496	295.73897
ko:K01501	16.09469
ko:K01507	19.38475
ko:K01512	167.156
ko:K01515	214.05428
ko:K01520	494.34301999999997
ko:K01523	286.46068
ko:K01524	238.405869
ko:K01525	26.6097
ko:K01531	61.347049999999996
ko:K01533	268.795499
ko:K01534	344.51971
ko:K01537	315.415769
ko:K01546	86.32327
ko:K01547	128.71322
ko:K01548	67.267225
ko:K01551	34.967057000000004
ko:K01560	83.26427
ko:K01567	3.33636
ko:K01571	75.51318
ko:K01572	148.52381
ko:K01573	53.816539999999996
ko:K01574	3.06118
ko:K01575	7.03899
ko:K01577	5.90197
ko:K01579	97.63226399999999
ko:K01580	101.520219
ko:K01581	11.2558
ko:K01582	74.90531
ko:K01583	74.90531
ko:K01585	278.41031
ko:K01586	170.83497
ko:K01588	212.32453
ko:K01589	19.42595
ko:K01590	7.386950000000001
ko:K01591	229.06212
ko:K01595	31.2213
ko:K01596	13.34967
ko:K01597	4.09189
ko:K01598	101.32517
ko:K01599	44.91859
ko:K01607	263.31186
ko:K01609	188.31887999999998
ko:K01610	88.67117999999999
ko:K01611	39.12901
ko:K01613	81.54952
ko:K01615	157.7539
ko:K01619	222.85413
ko:K01620	232.22958
ko:K01621	59.1676
ko:K01623	4.07701
ko:K01624	293.67181
ko:K01625	49.13937
ko:K01626	90.8348
ko:K01627	53.33871
ko:K01628	187.04385
ko:K01629	39.65282
ko:K01630	31.5355
ko:K01633	92.99393
ko:K01634	86.570769
ko:K01639	108.62228999999999
ko:K01643	11.5349
ko:K01644	10.1696
ko:K01646	57.4976
ko:K01647	116.28972
ko:K01649	309.98265
ko:K01652	341.39312
ko:K01653	256.47516
ko:K01654	28.01312
ko:K01657	235.515864
ko:K01658	180.07178
ko:K01659	39.92514
ko:K01661	118.10373
ko:K01662	240.37676000000002
ko:K01664	107.94093000000001
ko:K01665	56.19840000000001
ko:K01666	17.25856
ko:K01667	47.67738
ko:K01668	8.558060000000001
ko:K01673	137.96651
ko:K01676	151.38598
ko:K01677	151.38444900000002
ko:K01678	286.97123
ko:K01679	67.32722
ko:K01681	170.87614
ko:K01683	31.6659
ko:K01684	29.360570000000003
ko:K01685	71.78672
ko:K01686	113.76714
ko:K01687	250.39282
ko:K01689	256.86576
ko:K01692	3.59046
ko:K01693	230.23261
ko:K01695	216.59553
ko:K01696	203.11231
ko:K01697	32.103260000000006
ko:K01698	64.33364
ko:K01703	286.870435
ko:K01704	375.69152
ko:K01706	10.0717
ko:K01707	46.679249999999996
ko:K01708	72.66879
ko:K01709	39.25029
ko:K01710	262.08664
ko:K01711	64.493584
ko:K01712	49.11377
ko:K01713	11.75171
ko:K01714	421.74169
ko:K01715	55.39752
ko:K01719	24.77393
ko:K01727	52.36784
ko:K01729	31.04258
ko:K01730	3.36674
ko:K01733	255.24277
ko:K01734	114.00238
ko:K01735	126.49705
ko:K01736	256.69539
ko:K01737	165.22685
ko:K01738	264.38076
ko:K01739	217.98478
ko:K01740	376.24946
ko:K01744	112.56015000000001
ko:K01745	117.26675
ko:K01749	82.97491
ko:K01750	144.45526999999998
ko:K01751	16.29072
ko:K01752	1055.4196
ko:K01754	178.52922
ko:K01755	220.02926000000002
ko:K01756	305.15013
ko:K01759	308.341985
ko:K01760	228.402199
ko:K01761	87.09994
ko:K01768	16.41974
ko:K01770	180.44149
ko:K01772	15.47889
ko:K01775	370.29268
ko:K01776	207.16826
ko:K01778	205.10046
ko:K01779	28.71077
ko:K01783	256.61659000000003
ko:K01784	494.067075
ko:K01785	406.69813
ko:K01787	101.57534
ko:K01788	141.07805000000002
ko:K01790	246.36505
ko:K01791	203.38631
ko:K01792	25.6577
ko:K01795	11.61037
ko:K01802	197.54613999999998
ko:K01803	397.04934000000003
ko:K01804	52.44188
ko:K01805	52.55412
ko:K01807	70.891695
ko:K01808	391.32003
ko:K01809	85.50564
ko:K01810	181.029055
ko:K01811	240.791719
ko:K01812	56.76009
ko:K01813	89.21373
ko:K01814	600.109849
ko:K01815	42.18533
ko:K01816	11.30107
ko:K01817	359.25766
ko:K01818	146.28176000000002
ko:K01821	72.8715
ko:K01823	16.84941
ko:K01829	11.21344
ko:K01834	229.57665
ko:K01835	528.36644
ko:K01838	3.68626
ko:K01839	103.95527
ko:K01840	231.85403
ko:K01841	5.68377
ko:K01843	36.8254
ko:K01844	7.900690000000001
ko:K01845	66.00976
ko:K01847	152.518079
ko:K01854	247.032118
ko:K01857	5.41598
ko:K01858	40.83968
ko:K01866	151.76552
ko:K01867	147.31848
ko:K01868	333.88352
ko:K01869	298.81542
ko:K01870	330.23147
ko:K01872	413.28975
ko:K01873	229.54683799999998
ko:K01874	283.0642
ko:K01875	160.87442
ko:K01876	270.80678
ko:K01878	86.79009
ko:K01879	130.43375
ko:K01880	238.86895900000002
ko:K01881	307.23561
ko:K01883	183.4059
ko:K01885	348.01443
ko:K01886	82.80927
ko:K01887	252.43085
ko:K01889	459.097578
ko:K01890	178.02725999999998
ko:K01892	240.8043
ko:K01893	203.96470499999998
ko:K01894	3.97566
ko:K01895	186.124464
ko:K01897	469.79894
ko:K01902	138.16472399999998
ko:K01903	209.73617000000002
ko:K01910	10.6198
ko:K01911	56.233650000000004
ko:K01912	338.68093
ko:K01914	63.80876
ko:K01915	479.414399
ko:K01918	83.52498
ko:K01919	30.5881
ko:K01921	437.08699
ko:K01923	197.2303
ko:K01924	186.43119
ko:K01925	153.9786
ko:K01926	90.19865
ko:K01928	207.13586
ko:K01929	249.81313
ko:K01933	260.51792
ko:K01934	141.12931
ko:K01935	43.93261
ko:K01937	200.52455
ko:K01938	260.07185
ko:K01939	214.13282
ko:K01940	342.04403
ko:K01941	90.17999
ko:K01945	231.40135
ko:K01947	5.41742
ko:K01950	114.23425
ko:K01951	282.30677
ko:K01952	577.35761
ko:K01953	116.955175
ko:K01955	491.09931
ko:K01956	176.7099
ko:K01958	17.58915
ko:K01960	208.10603999999998
ko:K01961	224.177594
ko:K01962	354.1206
ko:K01963	339.42810000000003
ko:K01965	45.180444
ko:K01966	175.80046000000002
ko:K01971	31.876440000000002
ko:K01972	211.09002999999998
ko:K01974	10.2308
ko:K01975	31.10456
ko:K01989	153.88166
ko:K01990	1780.231549
ko:K01991	142.202384
ko:K01992	1441.986399
ko:K01993	148.18651
ko:K01995	134.80755
ko:K01996	124.36063
ko:K01997	112.45884000000001
ko:K01998	92.39187
ko:K01999	102.40595
ko:K02000	102.199145
ko:K02001	42.56348
ko:K02002	64.46448
ko:K02003	1294.034651
ko:K02004	1872.455454
ko:K02005	318.767689
ko:K02006	72.3449
ko:K02007	113.7939
ko:K02008	51.81596
ko:K02009	72.58962
ko:K02010	136.557399
ko:K02011	92.33422
ko:K02012	117.394499
ko:K02013	417.51084
