SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes
RiceS10-1-1	Bowtie2	Rice	Single	90%	10G	0.451777344
RiceS10-1-2	Bowtie2	Rice	Single	90%	10G	0.456279297
RiceS10-1-3	Bowtie2	Rice	Single	90%	10G	0.460498047
RiceS10-1-4	Bowtie2	Rice	Single	90%	10G	0.458945313
RiceS10-1-5	Bowtie2	Rice	Single	90%	10G	0.448203125
RiceS10-2-1	Bowtie2	Rice	Single	50%	10G	0.448671875
RiceS10-2-2	Bowtie2	Rice	Single	50%	10G	0.455722656
RiceS10-2-3	Bowtie2	Rice	Single	50%	10G	0.460322266
RiceS10-2-4	Bowtie2	Rice	Single	50%	10G	0.459980469
RiceS10-2-5	Bowtie2	Rice	Single	50%	10G	0.448564453
RiceS10-3-1	Bowtie2	Rice	Single	10%	10G	0.444628906
RiceS10-3-2	Bowtie2	Rice	Single	10%	10G	0.438330078
RiceS10-3-3	Bowtie2	Rice	Single	10%	10G	0.444892578
RiceS10-3-4	Bowtie2	Rice	Single	10%	10G	0.459628906
RiceS10-3-5	Bowtie2	Rice	Single	10%	10G	0.446064453
RiceS10-1-1	BWA	Rice	Single	90%	10G	1.41
RiceS10-1-2	BWA	Rice	Single	90%	10G	1.4
RiceS10-1-3	BWA	Rice	Single	90%	10G	1.41
RiceS10-1-4	BWA	Rice	Single	90%	10G	1.41
RiceS10-1-5	BWA	Rice	Single	90%	10G	1.41
RiceS10-2-1	BWA	Rice	Single	50%	10G	1.34
RiceS10-2-2	BWA	Rice	Single	50%	10G	1.34
RiceS10-2-3	BWA	Rice	Single	50%	10G	1.34
RiceS10-2-4	BWA	Rice	Single	50%	10G	1.34
RiceS10-2-5	BWA	Rice	Single	50%	10G	1.34
RiceS10-3-1	BWA	Rice	Single	10%	10G	1.38
RiceS10-3-2	BWA	Rice	Single	10%	10G	1.39
RiceS10-3-3	BWA	Rice	Single	10%	10G	1.4
RiceS10-3-4	BWA	Rice	Single	10%	10G	1.4
RiceS10-3-5	BWA	Rice	Single	10%	10G	1.4
RiceS10-1-1	KneadData	Rice	Single	90%	10G	6.36
RiceS10-1-2	KneadData	Rice	Single	90%	10G	6.36
RiceS10-1-3	KneadData	Rice	Single	90%	10G	6.36
RiceS10-1-4	KneadData	Rice	Single	90%	10G	6.36
RiceS10-1-5	KneadData	Rice	Single	90%	10G	6.36
RiceS10-2-1	KneadData	Rice	Single	50%	10G	6.28
RiceS10-2-2	KneadData	Rice	Single	50%	10G	6.28
RiceS10-2-3	KneadData	Rice	Single	50%	10G	6.28
RiceS10-2-4	KneadData	Rice	Single	50%	10G	6.28
RiceS10-2-5	KneadData	Rice	Single	50%	10G	6.28
RiceS10-3-1	KneadData	Rice	Single	10%	10G	6.48
RiceS10-3-2	KneadData	Rice	Single	10%	10G	6.48
RiceS10-3-3	KneadData	Rice	Single	10%	10G	6.48
RiceS10-3-4	KneadData	Rice	Single	10%	10G	6.48
RiceS10-3-5	KneadData	Rice	Single	10%	10G	6.48
RiceS10-1-1	Kraken2	Rice	Single	90%	10G	0.754521484
RiceS10-1-2	Kraken2	Rice	Single	90%	10G	0.758564453
RiceS10-1-3	Kraken2	Rice	Single	90%	10G	0.748662109
RiceS10-1-4	Kraken2	Rice	Single	90%	10G	0.759169922
RiceS10-1-5	Kraken2	Rice	Single	90%	10G	0.75671875
RiceS10-2-1	Kraken2	Rice	Single	50%	10G	0.751064453
RiceS10-2-2	Kraken2	Rice	Single	50%	10G	0.746337891
RiceS10-2-3	Kraken2	Rice	Single	50%	10G	0.751767578
RiceS10-2-4	Kraken2	Rice	Single	50%	10G	0.748134766
RiceS10-2-5	Kraken2	Rice	Single	50%	10G	0.754550781
RiceS10-3-1	Kraken2	Rice	Single	10%	10G	0.754355469
RiceS10-3-2	Kraken2	Rice	Single	10%	10G	0.75265625
RiceS10-3-3	Kraken2	Rice	Single	10%	10G	0.749238281
RiceS10-3-4	Kraken2	Rice	Single	10%	10G	0.750839844
RiceS10-3-5	Kraken2	Rice	Single	10%	10G	0.752675781
RiceS10-1-1	KMCP	Rice	Single	90%	10G	3.82
RiceS10-1-2	KMCP	Rice	Single	90%	10G	3.81
RiceS10-1-3	KMCP	Rice	Single	90%	10G	3.8
RiceS10-1-4	KMCP	Rice	Single	90%	10G	3.8
RiceS10-1-5	KMCP	Rice	Single	90%	10G	3.81
RiceS10-2-1	KMCP	Rice	Single	50%	10G	4.28
RiceS10-2-2	KMCP	Rice	Single	50%	10G	4.27
RiceS10-2-3	KMCP	Rice	Single	50%	10G	4.19
RiceS10-2-4	KMCP	Rice	Single	50%	10G	4.1
RiceS10-2-5	KMCP	Rice	Single	50%	10G	4.13
RiceS10-3-1	KMCP	Rice	Single	10%	10G	4.23
RiceS10-3-2	KMCP	Rice	Single	10%	10G	4.15
RiceS10-3-3	KMCP	Rice	Single	10%	10G	4.2
RiceS10-3-4	KMCP	Rice	Single	10%	10G	4.24
RiceS10-3-5	KMCP	Rice	Single	10%	10G	4.13
RiceS10-1-1	KrakenUniq	Rice	Single	90%	10G	11.37
RiceS10-1-2	KrakenUniq	Rice	Single	90%	10G	11.38
RiceS10-1-3	KrakenUniq	Rice	Single	90%	10G	10.55
RiceS10-1-4	KrakenUniq	Rice	Single	90%	10G	10.71
RiceS10-1-5	KrakenUniq	Rice	Single	90%	10G	10.67
RiceS10-2-1	KrakenUniq	Rice	Single	50%	10G	11.13
RiceS10-2-2	KrakenUniq	Rice	Single	50%	10G	10.65
RiceS10-2-3	KrakenUniq	Rice	Single	50%	10G	10.45
RiceS10-2-4	KrakenUniq	Rice	Single	50%	10G	11.3
RiceS10-2-5	KrakenUniq	Rice	Single	50%	10G	10.68
RiceS10-3-1	KrakenUniq	Rice	Single	10%	10G	9.96
RiceS10-3-2	KrakenUniq	Rice	Single	10%	10G	10.12
RiceS10-3-3	KrakenUniq	Rice	Single	10%	10G	9.83
RiceS10-3-4	KrakenUniq	Rice	Single	10%	10G	10.22
RiceS10-3-5	KrakenUniq	Rice	Single	10%	10G	9.83
Rices30-1-1	Bowtie2	Rice	Single	90%	30G	0.460322266
Rices30-1-2	Bowtie2	Rice	Single	90%	30G	0.460693359
Rices30-1-3	Bowtie2	Rice	Single	90%	30G	0.459658203
Rices30-1-4	Bowtie2	Rice	Single	90%	30G	0.459873047
Rices30-1-5	Bowtie2	Rice	Single	90%	30G	0.460498047
Rices30-2-1	Bowtie2	Rice	Single	50%	30G	0.464335938
Rices30-2-2	Bowtie2	Rice	Single	50%	30G	0.465390625
Rices30-2-3	Bowtie2	Rice	Single	50%	30G	0.462753906
Rices30-2-4	Bowtie2	Rice	Single	50%	30G	0.462900391
Rices30-2-5	Bowtie2	Rice	Single	50%	30G	0.450302734
Rices30-3-1	Bowtie2	Rice	Single	10%	30G	0.445400391
Rices30-3-2	Bowtie2	Rice	Single	10%	30G	0.455292969
Rices30-3-3	Bowtie2	Rice	Single	10%	30G	0.448300781
Rices30-3-4	Bowtie2	Rice	Single	10%	30G	0.462197266
Rices30-3-5	Bowtie2	Rice	Single	10%	30G	0.448710938
Rices30-1-1	BWA	Rice	Single	90%	30G	1.4
Rices30-1-2	BWA	Rice	Single	90%	30G	1.4
Rices30-1-3	BWA	Rice	Single	90%	30G	1.41
Rices30-1-4	BWA	Rice	Single	90%	30G	1.4
Rices30-1-5	BWA	Rice	Single	90%	30G	1.4
Rices30-2-1	BWA	Rice	Single	50%	30G	1.41
Rices30-2-2	BWA	Rice	Single	50%	30G	1.4
Rices30-2-3	BWA	Rice	Single	50%	30G	1.41
Rices30-2-4	BWA	Rice	Single	50%	30G	1.4
Rices30-2-5	BWA	Rice	Single	50%	30G	1.4
Rices30-3-1	BWA	Rice	Single	10%	30G	1.34
Rices30-3-2	BWA	Rice	Single	10%	30G	1.34
Rices30-3-3	BWA	Rice	Single	10%	30G	1.34
Rices30-3-4	BWA	Rice	Single	10%	30G	1.34
Rices30-3-5	BWA	Rice	Single	10%	30G	1.34
Rices30-1-1	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-2	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-3	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-4	KneadData	Rice	Single	90%	30G	15.09
Rices30-1-5	KneadData	Rice	Single	90%	30G	15.09
Rices30-2-1	KneadData	Rice	Single	50%	30G	16.32
Rices30-2-2	KneadData	Rice	Single	50%	30G	16.19
