SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Times
RiceS10-1-1	Bowtie2	Rice	Single	90%	10G	188.4204667
RiceS10-1-2	Bowtie2	Rice	Single	90%	10G	192.7020833
RiceS10-1-3	Bowtie2	Rice	Single	90%	10G	181.6161167
RiceS10-1-4	Bowtie2	Rice	Single	90%	10G	190.76045
RiceS10-1-5	Bowtie2	Rice	Single	90%	10G	190.7496833
RiceS10-2-1	Bowtie2	Rice	Single	50%	10G	114.9371333
RiceS10-2-2	Bowtie2	Rice	Single	50%	10G	109.1746833
RiceS10-2-3	Bowtie2	Rice	Single	50%	10G	110.8859167
RiceS10-2-4	Bowtie2	Rice	Single	50%	10G	119.43855
RiceS10-2-5	Bowtie2	Rice	Single	50%	10G	119.43855
RiceS10-3-1	Bowtie2	Rice	Single	10%	10G	31.97183333
RiceS10-3-2	Bowtie2	Rice	Single	10%	10G	31.28265
RiceS10-3-3	Bowtie2	Rice	Single	10%	10G	30.89825
RiceS10-3-4	Bowtie2	Rice	Single	10%	10G	31.1501
RiceS10-3-5	Bowtie2	Rice	Single	10%	10G	30.06631667
RiceS10-1-1	BWA	Rice	Single	90%	10G	246.4815833
RiceS10-1-2	BWA	Rice	Single	90%	10G	260.3464333
RiceS10-1-3	BWA	Rice	Single	90%	10G	237.4259167
RiceS10-1-4	BWA	Rice	Single	90%	10G	256.14635
RiceS10-1-5	BWA	Rice	Single	90%	10G	234.7615667
RiceS10-2-1	BWA	Rice	Single	50%	10G	193.3717167
RiceS10-2-2	BWA	Rice	Single	50%	10G	189.6516167
RiceS10-2-3	BWA	Rice	Single	50%	10G	240.8232
RiceS10-2-4	BWA	Rice	Single	50%	10G	185.2511
RiceS10-2-5	BWA	Rice	Single	50%	10G	203.8604667
RiceS10-3-1	BWA	Rice	Single	10%	10G	131.7542
RiceS10-3-2	BWA	Rice	Single	10%	10G	121.3667
RiceS10-3-3	BWA	Rice	Single	10%	10G	112.13605
RiceS10-3-4	BWA	Rice	Single	10%	10G	113.3538833
RiceS10-3-5	BWA	Rice	Single	10%	10G	114.4817667
RiceS10-1-1	Kneaddata	Rice	Single	90%	10G	361.1218333
RiceS10-1-2	Kneaddata	Rice	Single	90%	10G	352.5904833
RiceS10-1-3	Kneaddata	Rice	Single	90%	10G	351.2522667
RiceS10-1-4	Kneaddata	Rice	Single	90%	10G	353.2468
RiceS10-1-5	Kneaddata	Rice	Single	90%	10G	354.2469667
RiceS10-2-1	Kneaddata	Rice	Single	50%	10G	271.6625333
RiceS10-2-2	Kneaddata	Rice	Single	50%	10G	271.2956667
RiceS10-2-3	Kneaddata	Rice	Single	50%	10G	273.5488
RiceS10-2-4	Kneaddata	Rice	Single	50%	10G	273.9113833
RiceS10-2-5	Kneaddata	Rice	Single	50%	10G	287.82785
RiceS10-3-1	Kneaddata	Rice	Single	10%	10G	72.6102
RiceS10-3-2	Kneaddata	Rice	Single	10%	10G	72.23508333
RiceS10-3-3	Kneaddata	Rice	Single	10%	10G	72.18831667
RiceS10-3-4	Kneaddata	Rice	Single	10%	10G	72.22411667
RiceS10-3-5	Kneaddata	Rice	Single	10%	10G	72.52773333
RiceS10-1-1	Kraken2	Rice	Single	90%	10G	9.2229
RiceS10-1-2	Kraken2	Rice	Single	90%	10G	9.097883333
RiceS10-1-3	Kraken2	Rice	Single	90%	10G	9.17105
RiceS10-1-4	Kraken2	Rice	Single	90%	10G	8.647633333
RiceS10-1-5	Kraken2	Rice	Single	90%	10G	8.781633333
RiceS10-2-1	Kraken2	Rice	Single	50%	10G	9.182
RiceS10-2-2	Kraken2	Rice	Single	50%	10G	8.77785
RiceS10-2-3	Kraken2	Rice	Single	50%	10G	8.6179
RiceS10-2-4	Kraken2	Rice	Single	50%	10G	8.539366667
RiceS10-2-5	Kraken2	Rice	Single	50%	10G	8.118166667
RiceS10-3-1	Kraken2	Rice	Single	10%	10G	7.104283333
RiceS10-3-2	Kraken2	Rice	Single	10%	10G	7.110066667
RiceS10-3-3	Kraken2	Rice	Single	10%	10G	7.1799
RiceS10-3-4	Kraken2	Rice	Single	10%	10G	7.156233333
RiceS10-3-5	Kraken2	Rice	Single	10%	10G	7.144633333
RiceS10-1-1	KMCP	Rice	Single	90%	10G	67.61871667
RiceS10-1-2	KMCP	Rice	Single	90%	10G	69.24251667
RiceS10-1-3	KMCP	Rice	Single	90%	10G	68.92471667
RiceS10-1-4	KMCP	Rice	Single	90%	10G	68.70505
