Sample	SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Precision	Recall	Accuracy	F1
1	RiceS10-1-1	Kneaddata	Rice	Single	90%	10G	0.999770714	1	0.999793595	0.999885344
2	RiceS10-1-2	Kneaddata	Rice	Single	90%	10G	0.999773157	1	0.999795795	0.999886566
3	RiceS10-1-3	Kneaddata	Rice	Single	90%	10G	0.999777655	1	0.999799845	0.999888815
4	RiceS10-1-4	Kneaddata	Rice	Single	90%	10G	0.999772824	1	0.999795495	0.999886399
5	RiceS10-1-5	Kneaddata	Rice	Single	90%	10G	0.99977077	1	0.999793645	0.999885372
6	RiceS10-1-1	BWA	Rice	Single	90%	10G	0.999561321	1	0.999605016	0.999780613
7	RiceS10-1-2	BWA	Rice	Single	90%	10G	0.999706274	1	0.999735569	0.999853115
8	RiceS10-1-3	BWA	Rice	Single	90%	10G	0.999715602	1	0.999743969	0.999857781
9	RiceS10-1-4	BWA	Rice	Single	90%	10G	0.999404286	1	0.999463538	0.999702054
10	RiceS10-1-5	BWA	Rice	Single	90%	10G	0.999474903	1	0.999527164	0.999737382
11	RiceS10-1-1	Bowtie2	Rice	Single	90%	10G	0.999999722	0.999782856	0.99980432	0.999891277
12	RiceS10-1-2	Bowtie2	Rice	Single	90%	10G	0.999999555	0.999778245	0.99980002	0.999888888
13	RiceS10-1-3	Bowtie2	Rice	Single	90%	10G	0.999999583	0.999781384	0.99980287	0.999890472
14	RiceS10-1-4	Bowtie2	Rice	Single	90%	10G	0.999999555	0.99977905	0.999800745	0.999889291
15	RiceS10-1-5	Bowtie2	Rice	Single	90%	10G	0.999999639	0.999780273	0.99980192	0.999889944
16	RiceS10-1-1	Kraken2	Rice	Single	90%	10G	0.999931628	0.978664259	0.980737607	0.989183645
17	RiceS10-1-2	Kraken2	Rice	Single	90%	10G	0.999932992	0.978691899	0.980763683	0.989198431
18	RiceS10-1-3	Kraken2	Rice	Single	90%	10G	0.999935374	0.978671426	0.980747357	0.989189139
19	RiceS10-1-4	Kraken2	Rice	Single	90%	10G	0.999933985	0.978697343	0.980769458	0.989201698
20	RiceS10-1-5	Kraken2	Rice	Single	90%	10G	0.999932963	0.978692038	0.980763783	0.989198488
21	RiceS10-1-1	KMCP	Rice	Single	90%	10G	1	0.747819533	0.77303758	0.855717102
22	RiceS10-1-2	KMCP	Rice	Single	90%	10G	1	0.747677697	0.772909927	0.855624236
23	RiceS10-1-3	KMCP	Rice	Single	90%	10G	1	0.747719031	0.772947128	0.855651301
24	RiceS10-1-4	KMCP	Rice	Single	90%	10G	1	0.747762976	0.772986679	0.855680074
25	RiceS10-1-5	KMCP	Rice	Single	90%	10G	1	0.747838756	0.77305488	0.855729687
26	RiceS10-1-1	KrakenUniq	Rice	Single	90%	10G	0.999899341	0.999998889	0.999908398	0.999949112
27	RiceS10-1-2	KrakenUniq	Rice	Single	90%	10G	0.999901952	0.999998667	0.999910548	0.999950307
28	RiceS10-1-3	KrakenUniq	Rice	Single	90%	10G	0.999902729	0.999998556	0.999911148	0.99995064
29	RiceS10-1-4	KrakenUniq	Rice	Single	90%	10G	0.999897508	0.999998944	0.999906798	0.999948224
30	RiceS10-1-5	KrakenUniq	Rice	Single	90%	10G	0.999899785	0.999998278	0.999908248	0.999949029
31	RiceS10-2-1	Kneaddata	Rice	Single	50%	10G	0.997958828	1	0.998977327	0.998978371
