SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	F1
RiceS10-1-1	Kneaddata	Rice	Single	90%	10G	0.999885344
RiceS10-1-2	Kneaddata	Rice	Single	90%	10G	0.999886566
RiceS10-1-3	Kneaddata	Rice	Single	90%	10G	0.999888815
RiceS10-1-4	Kneaddata	Rice	Single	90%	10G	0.999886399
RiceS10-1-5	Kneaddata	Rice	Single	90%	10G	0.999885372
RiceS10-1-1	BWA	Rice	Single	90%	10G	0.999780613
RiceS10-1-2	BWA	Rice	Single	90%	10G	0.999853115
RiceS10-1-3	BWA	Rice	Single	90%	10G	0.999857781
RiceS10-1-4	BWA	Rice	Single	90%	10G	0.999702054
RiceS10-1-5	BWA	Rice	Single	90%	10G	0.999737382
RiceS10-1-1	Bowtie2	Rice	Single	90%	10G	0.999891277
RiceS10-1-2	Bowtie2	Rice	Single	90%	10G	0.999888888
RiceS10-1-3	Bowtie2	Rice	Single	90%	10G	0.999890472
RiceS10-1-4	Bowtie2	Rice	Single	90%	10G	0.999889291
RiceS10-1-5	Bowtie2	Rice	Single	90%	10G	0.999889944
RiceS10-1-1	Kraken2	Rice	Single	90%	10G	0.989183645
RiceS10-1-2	Kraken2	Rice	Single	90%	10G	0.989198431
RiceS10-1-3	Kraken2	Rice	Single	90%	10G	0.989189139
RiceS10-1-4	Kraken2	Rice	Single	90%	10G	0.989201698
RiceS10-1-5	Kraken2	Rice	Single	90%	10G	0.989198488
RiceS10-1-1	KMCP	Rice	Single	90%	10G	0.855717102
RiceS10-1-2	KMCP	Rice	Single	90%	10G	0.855624236
RiceS10-1-3	KMCP	Rice	Single	90%	10G	0.855651301
RiceS10-1-4	KMCP	Rice	Single	90%	10G	0.855680074
RiceS10-1-5	KMCP	Rice	Single	90%	10G	0.855729687
RiceS10-1-1	KrakenUniq	Rice	Single	90%	10G	0.999949112
RiceS10-1-2	KrakenUniq	Rice	Single	90%	10G	0.999950307
RiceS10-1-3	KrakenUniq	Rice	Single	90%	10G	0.99995064
RiceS10-1-4	KrakenUniq	Rice	Single	90%	10G	0.999948224
RiceS10-1-5	KrakenUniq	Rice	Single	90%	10G	0.999949029
RiceS10-2-1	Kneaddata	Rice	Single	50%	10G	0.998978371
RiceS10-2-2	Kneaddata	Rice	Single	50%	10G	0.998977623
RiceS10-2-3	Kneaddata	Rice	Single	50%	10G	0.99898396
