taxa	Species	Domain	Kingdom 	Phylum	Class	Order	Family	Dataset3	BWA	Bowtie2	Kneaddata	KMCP	Kraken2	KrakenUniq
Homo_sapiens	Homo_sapiens	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Hominidae	0	0.322222222	680.8222222	0.34	66919.90889	3492.875556	0.771111111
Phocaeicola_vulgatus_ATCC_8482	Phocaeicola_vulgatus_ATCC_8482	Bacteria	Bacteria	Bacteroidota	Bacteroidota	Bacteroidales	Bacteroidaceae	0.235555556	0.124444444	0.126666667	0.126666667	0.166666667	0.126666667	0.126666667
Parabacteroides_distasonis_ATCC_8503	Parabacteroides_distasonis_ATCC_8503	Bacteria	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	0.213333333	0.068888889	0.093333333	0.093333333	0.124444444	0.093333333	0.093333333
Akkermansia_muciniphila_ATCC_BAA_835	Akkermansia_muciniphila_ATCC_BAA_835	Bacteria	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	0.262222222	0.113333333	0.137777778	0.113333333	0.153333333	0.113333333	0.113333333
Eubacterium_rectale_ATCC_33656	Eubacterium_rectale_ATCC_33656	Bacteria	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	0.222222222	0.075555556	0.082222222	0.082222222	0.117777778	0.082222222	0.082222222
Slackia_heliotrinireducens_DSM_20476	Slackia_heliotrinireducens_DSM_20476	Bacteria	Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	0.255555556	0.115555556	0.115555556	0.115555556	0.117777778	0.115555556	0.115555556
Eggerthella_lenta_DSM_2243	Eggerthella_lenta_DSM_2243	Bacteria	Bacteria	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	1103025.009	1101410.371	1103024.942	1102642.087	1103024.949	1103023.889	1102871.531
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus_fermentans_DSM_20731	Bacteria	Bacteria	Bacillota	Negativicutes	Acidaminococcales	Acidaminococcaceae	1518376.953	1507830.431	1518376.869	1518014.796	1518376.891	1518323.551	1518373.436
Olsenella_uli_DSM_7084	Olsenella_uli_DSM_7084	Bacteria	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	0.162222222	0.06	0.06	0.06	0.066666667	0.06	0.06
Lacrimispora_saccharolytica_WM1	Lacrimispora_saccharolytica_WM1	Bacteria	Bacteria	Bacillota	Clostridia	Eubacteriales	Lachnospiraceae	0.64	0.271111111	0.271111111	0.271111111	0.357777778	0.271111111	0.271111111
