SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs.host	num_seqs.microbiome	num_seqs.total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1	X1NIT	X1NIM	X1NRT	X1NRM	NA	NP	NR	NF1	SUM	SuM2
HumanM30-3-1	Bowtie2	Human	Multiple	10%	30G	9599794	86398236	95998030	9579551	77286	20229	86320734	5.55	140.4534333	3.42	147.3177833	0.991996758	0.997892764	0.998984195	0.994936026	0.893935303247193	0.401900100902454	0.971972409678676	0.971972409678676	0.996941582519279	0.943808452309703	0.994264709789611	0.977509419609005	7.1523043877346	1.97445100212828
HumanM30-3-2	Bowtie2	Human	Multiple	10%	30G	9599786	86398258	95998044	9577045	405	22735	86397615	5.55	140.4534333	3.42	152.9690333	0.999957713	0.997631717	0.999758953	0.998793361	0.893935303247193	0.401900100902454	0.970842768668069	0.970842768668069	0.999284579149968	0.999703098822055	0.993554214950138	0.994649386589552	7.2247122209975	1.99393396573952
HumanM30-3-3	Bowtie2	Human	Multiple	10%	30G	9599792	86398268	95998060	9577497	9776	22283	86388244	5.55	140.4534333	3.42	181.5632	0.998980315	0.997678801	0.999666044	0.998329134	0.893935303247193	0.401900100902454	0.96512701668958	0.96512701668958	0.999003606931597	0.992840691521438	0.99368236405364	0.992586606081383	7.20420270611686	1.99159021301298
HumanM30-3-4	Bowtie2	Human	Multiple	10%	30G	9599792	86398252	95998044	9571395	409	28385	86397611	5.55	140.4534333	3.42	169.0638333	0.99995727	0.997043161	0.999700056	0.99849809	0.893935303247193	0.401900100902454	0.967625543074173	0.967625543074173	0.999106464858076	0.99969998847557	0.991952334826096	0.993337357639431	7.21518263609717	1.99244382249751
HumanM30-3-5	Bowtie2	Human	Multiple	10%	30G	9599786	86398214	95998000	9577680	154	22100	86397866	5.55	140.4534333	3.42	162.9420667	0.999983921	0.997697864	0.999768182	0.998839585	0.893935303247193	0.401900100902454	0.96884923670102	0.96884923670102	0.999312489175944	0.999887107762665	0.99373424805585	0.994854781722126	7.22132250426827	1.99416727089807
HumanM60-3-1	Bowtie2	Human	Multiple	10%	60G	19199586	172796430	191996016	19159084	154518	40476	172641522	5.55	140.4534333	3.41	248.00155	0.991999524	0.997891827	0.998984383	0.994936952	0.893935303247193	0.401900100902454	0.951846506211894	0.951846506211894	0.996942151062446	0.943827872667217	0.994262159545155	0.977513534265737	7.11207413411399	1.97445568532818
HumanM60-3-2	Bowtie2	Human	Multiple	10%	60G	19199586	172796536	191996122	19154226	780	45334	172795260	5.55	140.4534333	3.42	247.7985333	0.99995928	0.9976388	0.999759817	0.998797692	0.893935303247193	0.401900100902454	0.95188708767443	0.95188708767443	0.999287192029202	0.999714100882874	0.993573492838595	0.994668631274546	7.18685299652372	1.99395582330375
HumanM60-3-3	Bowtie2	Human	Multiple	10%	60G	19199586	172796526	191996112	19154763	19518	44797	172776522	5.55	140.4534333	3.42	239.7021667	0.998982074	0.997666769	0.999665018	0.998323988	0.893935303247193	0.401900100902454	0.953505488514645	0.953505488514645	0.999000504137508	0.992853041633104	0.993649616410845	0.992563739965248	7.18091328332564	1.99156424410276
HumanM60-3-4	Bowtie2	Human	Multiple	10%	60G	19199578	172796508	191996086	19142661	841	56899	172795199	5.55	140.4534333	3.42	241.6912	0.999956069	0.997036443	0.999699264	0.998494121	0.893935303247193	0.401900100902454	0.953107896196637	0.953107896196637	0.999104069718779	0.999691556136678	0.991934050362641	0.99331972149195	7.18610059425297	1.99242379121073
HumanM60-3-5	Bowtie2	Human	Multiple	10%	60G	19199584	172796412	191995996	19155459	330	44101	172795710	5.55	140.4534333	3.42	237.0552	0.999982773	0.99770302	0.999768583	0.998841596	0.893935303247193	0.401900100902454	0.954034596612505	0.954034596612505	0.999313701866421	0.999879047541976	0.99374828120464	0.994863717547922	7.19170934553562	1.99417741941434
HumanM10-3-1	Bowtie2	Human	Multiple	10%	10G	3999912	35999258	39999170	3991507	32371	8401	35966801	5.55	140.4534333	3.42	30.96086667	0.991955273	0.997899702	0.998980677	0.994918608	0.893935303247193	0.401900100902454	0.995231254163163	0.995231254163163	0.996930943504068	0.943517182052483	0.99428359302978	0.977432023182491	7.1984616542448	1.97436296668656
HumanM10-3-2	Bowtie2	Human	Multiple	10%	10G	3999908	35999288	39999196	3990573	151	9335	35999021	5.55	140.4534333	3.42	32.37323333	0.999962162	0.997666196	0.999762845	0.99881286	0.893935303247193	0.401900100902454	0.994948933030467	0.994948933030467	0.999296349203181	0.999734335687774	0.993648056869678	0.994736029885028	7.27314804185624	1.99403237908821
HumanM10-3-3	Bowtie2	Human	Multiple	10%	10G	3999912	35999270	39999182	3990645	4055	9263	35995117	5.55	140.4534333	3.42	32.82465	0.998984905	0.997684197	0.999667042	0.998334127	0.893935303247193	0.401900100902454	0.994858698341981	0.994858698341981	0.999006625049045	0.992872918361999	0.99369705041339	0.992608792346028	7.26373818700407	1.99161541739507
HumanM10-3-4	Bowtie2	Human	Multiple	10%	10G	3999914	35999282	39999196	3988280	172	11628	35999000	5.55	140.4534333	3.42	33.11713333	0.999956875	0.997092933	0.999704993	0.998522851	0.893935303247193	0.401900100902454	0.994800233194538	0.994800233194538	0.999121395164528	0.999697215141796	0.99208779989235	0.993447382494002	7.2697896632314	1.99256877765853
HumanM10-3-5	Bowtie2	Human	Multiple	10%	10G	3999908	35999248	39999156	3990716	69	9192	35999103	5.55	140.4534333	3.42	32.10223333	0.99998271	0.997701947	0.99976847	0.998841027	0.893935303247193	0.401900100902454	0.995003103826994	0.995003103826994	0.999313360135688	0.999878605212792	0.993745360807307	0.994861189211335	7.27364012717076	1.99417454934702
HumanM30-2-1	Bowtie2	Human	Multiple	50%	30G	47998906	47999428	95998334	47897654	42855	101246	47956045	5.55	140.4534333	3.42	523.4306167	0.99910608	0.99789066	0.998498914	0.998498	0.893935303247193	0.401900100902454	0.896790373629303	0.896790373629303	0.995474012325828	0.993723699931689	0.994258983306862	0.99333695772679	7.06620980469942	1.98881097005262
HumanM30-2-2	Bowtie2	Human	Multiple	50%	30G	47998900	47999584	95998484	47885489	213	113411	47998687	5.55	140.4534333	3.42	563.5932833	0.999995552	0.997637217	0.99881639	0.998814992	0.893935303247193	0.401900100902454	0.888762168314253	0.888762168314253	0.996434112380716	0.999968770155379	0.993569184367971	0.994745503371153	7.05807731105337	1.99117961575187
