SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	IndexingMemory	IndexingTime	RunningMemory	RunningTime	Precision	Recall	Accuracy	F1
HumanM30-3-1	Bowtie2	Human	Multiple	10%	30G	9599794	86398236	95998030	9579551	77286	20229	86320734	5.55	140.4534333	3.42	147.3177833	0.991996758	0.997892764	0.998984195	0.994936026
HumanM30-3-2	Bowtie2	Human	Multiple	10%	30G	9599786	86398258	95998044	9577045	405	22735	86397615	5.55	140.4534333	3.42	152.9690333	0.999957713	0.997631717	0.999758953	0.998793361
HumanM30-3-3	Bowtie2	Human	Multiple	10%	30G	9599792	86398268	95998060	9577497	9776	22283	86388244	5.55	140.4534333	3.42	181.5632	0.998980315	0.997678801	0.999666044	0.998329134
HumanM30-3-4	Bowtie2	Human	Multiple	10%	30G	9599792	86398252	95998044	9571395	409	28385	86397611	5.55	140.4534333	3.42	169.0638333	0.99995727	0.997043161	0.999700056	0.99849809
HumanM30-3-5	Bowtie2	Human	Multiple	10%	30G	9599786	86398214	95998000	9577680	154	22100	86397866	5.55	140.4534333	3.42	162.9420667	0.999983921	0.997697864	0.999768182	0.998839585
HumanM60-3-1	Bowtie2	Human	Multiple	10%	60G	19199586	172796430	191996016	19159084	154518	40476	172641522	5.55	140.4534333	3.41	248.00155	0.991999524	0.997891827	0.998984383	0.994936952
HumanM60-3-2	Bowtie2	Human	Multiple	10%	60G	19199586	172796536	191996122	19154226	780	45334	172795260	5.55	140.4534333	3.42	247.7985333	0.99995928	0.9976388	0.999759817	0.998797692
HumanM60-3-3	Bowtie2	Human	Multiple	10%	60G	19199586	172796526	191996112	19154763	19518	44797	172776522	5.55	140.4534333	3.42	239.7021667	0.998982074	0.997666769	0.999665018	0.998323988
HumanM60-3-4	Bowtie2	Human	Multiple	10%	60G	19199578	172796508	191996086	19142661	841	56899	172795199	5.55	140.4534333	3.42	241.6912	0.999956069	0.997036443	0.999699264	0.998494121
HumanM60-3-5	Bowtie2	Human	Multiple	10%	60G	19199584	172796412	191995996	19155459	330	44101	172795710	5.55	140.4534333	3.42	237.0552	0.999982773	0.99770302	0.999768583	0.998841596
HumanM10-3-1	Bowtie2	Human	Multiple	10%	10G	3999912	35999258	39999170	3991507	32371	8401	35966801	5.55	140.4534333	3.42	30.96086667	0.991955273	0.997899702	0.998980677	0.994918608
HumanM10-3-2	Bowtie2	Human	Multiple	10%	10G	3999908	35999288	39999196	3990573	151	9335	35999021	5.55	140.4534333	3.42	32.37323333	0.999962162	0.997666196	0.999762845	0.99881286
HumanM10-3-3	Bowtie2	Human	Multiple	10%	10G	3999912	35999270	39999182	3990645	4055	9263	35995117	5.55	140.4534333	3.42	32.82465	0.998984905	0.997684197	0.999667042	0.998334127
HumanM10-3-4	Bowtie2	Human	Multiple	10%	10G	3999914	35999282	39999196	3988280	172	11628	35999000	5.55	140.4534333	3.42	33.11713333	0.999956875	0.997092933	0.999704993	0.998522851
HumanM10-3-5	Bowtie2	Human	Multiple	10%	10G	3999908	35999248	39999156	3990716	69	9192	35999103	5.55	140.4534333	3.42	32.10223333	0.99998271	0.997701947	0.99976847	0.998841027
HumanM30-2-1	Bowtie2	Human	Multiple	50%	30G	47998906	47999428	95998334	47897654	42855	101246	47956045	5.55	140.4534333	3.42	523.4306167	0.99910608	0.99789066	0.998498914	0.998498
HumanM30-2-2	Bowtie2	Human	Multiple	50%	30G	47998900	47999584	95998484	47885489	213	113411	47998687	5.55	140.4534333	3.42	563.5932833	0.999995552	0.997637217	0.99881639	0.998814992
HumanM30-2-3	Bowtie2	Human	Multiple	50%	30G	47998906	47999668	95998574	47886318	5438	112582	47993462	5.55	140.4534333	3.42	589.8955167	0.999886452	0.997654488	0.998770597	0.998769223
HumanM30-2-4	Bowtie2	Human	Multiple	50%	30G	47998912	47999592	95998504	47856537	228	142363	47998672	5.55	140.4534333	3.42	610.0300333	0.999995236	0.997034036	0.998514643	0.998512441
HumanM30-2-5	Bowtie2	Human	Multiple	50%	30G	47998904	47999472	95998376	47888753	89	110147	47998811	5.55	140.4534333	3.42	581.6099333	0.999998142	0.997705218	0.998851682	0.998850364
HumanM60-2-1	Bowtie2	Human	Multiple	50%	60G	95997814	95998806	191996620	95795602	85855	202198	95911945	5.55	140.4534333	3.42	1104.74	0.999104571	0.997893723	0.99849969	0.99849878
HumanM60-2-2	Bowtie2	Human	Multiple	50%	60G	95997810	95999128	191996938	95770135	434	227665	95997366	5.55	140.4534333	3.42	1113.9573	0.999995468	0.997628435	0.998811957	0.998810549
HumanM60-2-3	Bowtie2	Human	Multiple	50%	60G	95997814	95999344	191997158	95772971	10983	224829	95986817	5.55	140.4534333	3.42	1151.775333	0.999885336	0.997657978	0.998771784	0.998770415
HumanM60-2-4	Bowtie2	Human	Multiple	50%	60G	95997814	95999116	191996930	95713139	459	284661	95997341	5.55	140.4534333	3.42	1131.3484	0.999995204	0.997034713	0.998514966	0.998512764
HumanM60-2-5	Bowtie2	Human	Multiple	50%	60G	95997808	95998942	191996750	95777896	172	219904	95997628	5.55	140.4534333	3.42	1094.5451	0.999998204	0.997709281	0.998853745	0.998852431
HumanM10-2-1	Bowtie2	Human	Multiple	50%	10G	19999546	19999756	39999302	19957455	17791	42089	19981753	5.55	140.4534333	3.42	103.6942167	0.999109348	0.997895502	0.998502966	0.998502056
HumanM10-2-2	Bowtie2	Human	Multiple	50%	10G	19999544	19999844	39999388	19952321	75	47223	19999469	5.55	140.4534333	3.42	108.98375	0.999996241	0.997638796	0.998817523	0.998816128
HumanM10-2-3	Bowtie2	Human	Multiple	50%	10G	19999546	19999868	39999414	19952871	2289	46673	19997255	5.55	140.4534333	3.42	111.5108	0.999885293	0.997666297	0.998775922	0.998774562
HumanM10-2-4	Bowtie2	Human	Multiple	50%	10G	19999550	19999866	39999416	19940358	91	59186	19999453	5.55	140.4534333	3.42	109.1203833	0.999995436	0.997040633	0.998518041	0.998515849
HumanM10-2-5	Bowtie2	Human	Multiple	50%	10G	19999544	19999790	39999334	19953741	37	45803	19999507	5.55	140.4534333	3.42	111.8010667	0.999998146	0.997709798	0.998853974	0.998852661
HumanM30-1-1	Bowtie2	Human	Multiple	90%	30G	86398020	9600586	95998606	86215919	8626	182101	9591154	5.55	140.4534333	3.41	988.3319167	0.999899959	0.997892301	0.998013215	0.998895121
HumanM30-1-2	Bowtie2	Human	Multiple	90%	30G	86398020	9600894	95998914	86192732	37	205288	9599743	5.55	140.4534333	3.42	1063.6538	0.999999571	0.997623927	0.997861149	0.998810336
HumanM30-1-3	Bowtie2	Human	Multiple	90%	30G	86398022	9601044	95999066	86195677	1097	202343	9598683	5.55	140.4534333	3.42	928.1906667	0.999987273	0.997658013	0.997880785	0.998821285
HumanM30-1-4	Bowtie2	Human	Multiple	90%	30G	86398026	9600902	95998928	86141552	40	256468	9599740	5.55	140.4534333	3.42	932.41735	0.999999536	0.997031552	0.99732798	0.998513338
