Software	SampleID	GenomeProportion	Group	Time
Kneaddata	RiceS10-1-1	90%	10G	361.1218333
Kneaddata	RiceS10-1-2	90%	10G	352.5904833
Kneaddata	RiceS10-1-3	90%	10G	351.2522667
Kneaddata	RiceS10-1-4	90%	10G	353.2468
Kneaddata	RiceS10-1-5	90%	10G	354.2469667
Kraken2	RiceS10-1-1	90%	10G	9.2229
Kraken2	RiceS10-1-2	90%	10G	9.097883333
Kraken2	RiceS10-1-3	90%	10G	9.17105
Kraken2	RiceS10-1-4	90%	10G	8.647633333
Kraken2	RiceS10-1-5	90%	10G	8.781633333
HostPurge	RiceS10-1-1	90%	10G	20.97555
HostPurge	RiceS10-1-2	90%	10G	20.93963333
HostPurge	RiceS10-1-3	90%	10G	21.01541667
HostPurge	RiceS10-1-4	90%	10G	20.42386667
HostPurge	RiceS10-1-5	90%	10G	20.4372
Kneaddata	RiceS10-2-1	50%	10G	271.6625333
Kneaddata	RiceS10-2-2	50%	10G	271.2956667
Kneaddata	RiceS10-2-3	50%	10G	273.5488
Kneaddata	RiceS10-2-4	50%	10G	273.9113833
Kneaddata	RiceS10-2-5	50%	10G	287.82785
Kraken2	RiceS10-2-1	50%	10G	9.182
Kraken2	RiceS10-2-2	50%	10G	8.77785
Kraken2	RiceS10-2-3	50%	10G	8.6179
Kraken2	RiceS10-2-4	50%	10G	8.539366667
Kraken2	RiceS10-2-5	50%	10G	8.118166667
HostPurge	RiceS10-2-1	50%	10G	33.07443333
HostPurge	RiceS10-2-2	50%	10G	32.17106667
HostPurge	RiceS10-2-3	50%	10G	32.00508333
HostPurge	RiceS10-2-4	50%	10G	32.62378333
HostPurge	RiceS10-2-5	50%	10G	31.74945
Kneaddata	RiceS10-3-1	10%	10G	72.6102
Kneaddata	RiceS10-3-2	10%	10G	72.23508333
Kneaddata	RiceS10-3-3	10%	10G	72.18831667
Kneaddata	RiceS10-3-4	10%	10G	72.22411667
Kneaddata	RiceS10-3-5	10%	10G	72.52773333
Kraken2	RiceS10-3-1	10%	10G	7.104283333
Kraken2	RiceS10-3-2	10%	10G	7.110066667
Kraken2	RiceS10-3-3	10%	10G	7.1799
Kraken2	RiceS10-3-4	10%	10G	7.156233333
Kraken2	RiceS10-3-5	10%	10G	7.144633333
HostPurge	RiceS10-3-1	10%	10G	42.80368333
HostPurge	RiceS10-3-2	10%	10G	43.1223
HostPurge	RiceS10-3-3	10%	10G	42.81516667
HostPurge	RiceS10-3-4	10%	10G	42.99643333
HostPurge	RiceS10-3-5	10%	10G	43.8893
Kneaddata	RiceS30-1-1	90%	30G	917.9408333
Kneaddata	RiceS30-1-2	90%	30G	873.6557667
Kneaddata	RiceS30-1-3	90%	30G	871.1562333
Kneaddata	RiceS30-1-4	90%	30G	922.4200333
Kneaddata	RiceS30-1-5	90%	30G	1112.824583
Kraken2	RiceS30-1-1	90%	30G	29.29858333
Kraken2	RiceS30-1-2	90%	30G	25.3889
Kraken2	RiceS30-1-3	90%	30G	25.35878333
Kraken2	RiceS30-1-4	90%	30G	25.40005
Kraken2	RiceS30-1-5	90%	30G	25.51481667
HostPurge	RiceS30-1-1	90%	30G	57.33576667
HostPurge	RiceS30-1-2	90%	30G	53.51346667
HostPurge	RiceS30-1-3	90%	30G	53.4385
HostPurge	RiceS30-1-4	90%	30G	53.3919
HostPurge	RiceS30-1-5	90%	30G	53.62561667
Kneaddata	RiceS30-2-1	50%	30G	564.7113
Kneaddata	RiceS30-2-2	50%	30G	537.9909667
Kneaddata	RiceS30-2-3	50%	30G	515.441
Kneaddata	RiceS30-2-4	50%	30G	511.3117667
Kneaddata	RiceS30-2-5	50%	30G	500.9322333
Kraken2	RiceS30-2-1	50%	30G	19.29408333
Kraken2	RiceS30-2-2	50%	30G	17.71255
Kraken2	RiceS30-2-3	50%	30G	17.70686667
Kraken2	RiceS30-2-4	50%	30G	17.73528333
Kraken2	RiceS30-2-5	50%	30G	17.72871667
HostPurge	RiceS30-2-1	50%	30G	76.2424
HostPurge	RiceS30-2-2	50%	30G	74.5669
HostPurge	RiceS30-2-3	50%	30G	74.08186667
HostPurge	RiceS30-2-4	50%	30G	74.12135
HostPurge	RiceS30-2-5	50%	30G	72.36941667
Kneaddata	RiceS30-3-1	10%	30G	169.6266667
Kneaddata	RiceS30-3-2	10%	30G	169.6169167
Kneaddata	RiceS30-3-3	10%	30G	169.9146333
Kneaddata	RiceS30-3-4	10%	30G	169.6298667
Kneaddata	RiceS30-3-5	10%	30G	169.6735667
Kraken2	RiceS30-3-1	10%	30G	17.37671667
Kraken2	RiceS30-3-2	10%	30G	18.97905
Kraken2	RiceS30-3-3	10%	30G	16.78598333
Kraken2	RiceS30-3-4	10%	30G	16.8007
Kraken2	RiceS30-3-5	10%	30G	16.7826
HostPurge	RiceS30-3-1	10%	30G	102.7160833
HostPurge	RiceS30-3-2	10%	30G	103.8723833
HostPurge	RiceS30-3-3	10%	30G	100.9912333
HostPurge	RiceS30-3-4	10%	30G	99.63575
HostPurge	RiceS30-3-5	10%	30G	100.5863333
Kneaddata	RiceS60-1-1	90%	60G	1682.45795
Kneaddata	RiceS60-1-2	90%	60G	1708.600967
Kneaddata	RiceS60-1-3	90%	60G	1630.478667
Kneaddata	RiceS60-1-4	90%	60G	1604.663733
Kneaddata	RiceS60-1-5	90%	60G	1583.551883
Kraken2	RiceS60-1-1	90%	60G	54.56498333
Kraken2	RiceS60-1-2	90%	60G	54.33463333
Kraken2	RiceS60-1-3	90%	60G	55.7012
Kraken2	RiceS60-1-4	90%	60G	60.63186667
Kraken2	RiceS60-1-5	90%	60G	54.12588333
HostPurge	RiceS60-1-1	90%	60G	111.0069
HostPurge	RiceS60-1-2	90%	60G	111.2622333
HostPurge	RiceS60-1-3	90%	60G	112.3767
HostPurge	RiceS60-1-4	90%	60G	116.91295
HostPurge	RiceS60-1-5	90%	60G	110.6452167
Kneaddata	RiceS60-2-1	50%	60G	1268.199917
Kneaddata	RiceS60-2-2	50%	60G	1371.053033
Kneaddata	RiceS60-2-3	50%	60G	1102.700683
Kneaddata	RiceS60-2-4	50%	60G	999.97375
Kneaddata	RiceS60-2-5	50%	60G	996.5451333
Kraken2	RiceS60-2-1	50%	60G	62.13508333
Kraken2	RiceS60-2-2	50%	60G	61.81601667
Kraken2	RiceS60-2-3	50%	60G	61.69216667
Kraken2	RiceS60-2-4	50%	60G	61.02785
Kraken2	RiceS60-2-5	50%	60G	61.58576667
HostPurge	RiceS60-2-1	50%	60G	176.2167667
HostPurge	RiceS60-2-2	50%	60G	175.8722667
HostPurge	RiceS60-2-3	50%	60G	175.7639833
HostPurge	RiceS60-2-4	50%	60G	174.8258833
HostPurge	RiceS60-2-5	50%	60G	173.215
Kneaddata	RiceS60-3-1	10%	60G	409.1919667
Kneaddata	RiceS60-3-2	10%	60G	477.9506167
Kneaddata	RiceS60-3-3	10%	60G	498.93245
Kneaddata	RiceS60-3-4	10%	60G	497.5625
Kneaddata	RiceS60-3-5	10%	60G	484.1424
Kraken2	RiceS60-3-1	10%	60G	57.9719
Kraken2	RiceS60-3-2	10%	60G	57.36791667
Kraken2	RiceS60-3-3	10%	60G	57.1154
Kraken2	RiceS60-3-4	10%	60G	57.4813
Kraken2	RiceS60-3-5	10%	60G	57.46446667
HostPurge	RiceS60-3-1	10%	60G	153.5986167
HostPurge	RiceS60-3-2	10%	60G	155.7787333
HostPurge	RiceS60-3-3	10%	60G	155.78415
HostPurge	RiceS60-3-4	10%	60G	155.6504333
HostPurge	RiceS60-3-5	10%	60G	155.03025
