Software	SampleID	GenomeProportion	Group	PeakRSS
Kneaddata	RiceS10-1-1	90%	10G	6.36
Kneaddata	RiceS10-1-2	90%	10G	6.36
Kneaddata	RiceS10-1-3	90%	10G	6.36
Kneaddata	RiceS10-1-4	90%	10G	6.36
Kneaddata	RiceS10-1-5	90%	10G	6.36
Kraken2	RiceS10-1-1	90%	10G	0.75
Kraken2	RiceS10-1-2	90%	10G	0.76
Kraken2	RiceS10-1-3	90%	10G	0.75
Kraken2	RiceS10-1-4	90%	10G	0.76
Kraken2	RiceS10-1-5	90%	10G	0.76
HostPurge	RiceS10-1-1	90%	10G	0.96
HostPurge	RiceS10-1-2	90%	10G	0.96
HostPurge	RiceS10-1-3	90%	10G	0.96
HostPurge	RiceS10-1-4	90%	10G	0.96
HostPurge	RiceS10-1-5	90%	10G	0.96
Kneaddata	RiceS10-2-1	50%	10G	6.28
Kneaddata	RiceS10-2-2	50%	10G	6.28
Kneaddata	RiceS10-2-3	50%	10G	6.28
Kneaddata	RiceS10-2-4	50%	10G	6.28
Kneaddata	RiceS10-2-5	50%	10G	6.28
Kraken2	RiceS10-2-1	50%	10G	0.75
Kraken2	RiceS10-2-2	50%	10G	0.75
Kraken2	RiceS10-2-3	50%	10G	0.75
Kraken2	RiceS10-2-4	50%	10G	0.75
Kraken2	RiceS10-2-5	50%	10G	0.75
HostPurge	RiceS10-2-1	50%	10G	6.28
HostPurge	RiceS10-2-2	50%	10G	6.28
HostPurge	RiceS10-2-3	50%	10G	6.28
HostPurge	RiceS10-2-4	50%	10G	6.28
HostPurge	RiceS10-2-5	50%	10G	6.28
Kneaddata	RiceS10-3-1	10%	10G	6.48
Kneaddata	RiceS10-3-2	10%	10G	6.48
Kneaddata	RiceS10-3-3	10%	10G	6.48
Kneaddata	RiceS10-3-4	10%	10G	6.48
Kneaddata	RiceS10-3-5	10%	10G	6.48
Kraken2	RiceS10-3-1	10%	10G	0.75
Kraken2	RiceS10-3-2	10%	10G	0.75
Kraken2	RiceS10-3-3	10%	10G	0.75
Kraken2	RiceS10-3-4	10%	10G	0.75
Kraken2	RiceS10-3-5	10%	10G	0.75
HostPurge	RiceS10-3-1	10%	10G	5.85
HostPurge	RiceS10-3-2	10%	10G	5.85
HostPurge	RiceS10-3-3	10%	10G	5.85
HostPurge	RiceS10-3-4	10%	10G	5.85
HostPurge	RiceS10-3-5	10%	10G	5.85
Kneaddata	RiceS30-1-1	90%	30G	15.09
Kneaddata	RiceS30-1-2	90%	30G	15.09
Kneaddata	RiceS30-1-3	90%	30G	15.09
Kneaddata	RiceS30-1-4	90%	30G	15.09
Kneaddata	RiceS30-1-5	90%	30G	15.09
Kraken2	RiceS30-1-1	90%	30G	0.76
Kraken2	RiceS30-1-2	90%	30G	0.75
Kraken2	RiceS30-1-3	90%	30G	0.76
Kraken2	RiceS30-1-4	90%	30G	0.76
Kraken2	RiceS30-1-5	90%	30G	0.75
HostPurge	RiceS30-1-1	90%	30G	2.17
HostPurge	RiceS30-1-2	90%	30G	2.17
HostPurge	RiceS30-1-3	90%	30G	2.17
HostPurge	RiceS30-1-4	90%	30G	2.17
HostPurge	RiceS30-1-5	90%	30G	2.17
Kneaddata	RiceS30-2-1	50%	30G	16.32
Kneaddata	RiceS30-2-2	50%	30G	16.19
Kneaddata	RiceS30-2-3	50%	30G	16.32
Kneaddata	RiceS30-2-4	50%	30G	16.32
Kneaddata	RiceS30-2-5	50%	30G	16.19
Kraken2	RiceS30-2-1	50%	30G	0.76
Kraken2	RiceS30-2-2	50%	30G	0.76
Kraken2	RiceS30-2-3	50%	30G	0.77
Kraken2	RiceS30-2-4	50%	30G	0.78
Kraken2	RiceS30-2-5	50%	30G	0.77
HostPurge	RiceS30-2-1	50%	30G	8.51
HostPurge	RiceS30-2-2	50%	30G	8.51
HostPurge	RiceS30-2-3	50%	30G	8.51
HostPurge	RiceS30-2-4	50%	30G	8.51
HostPurge	RiceS30-2-5	50%	30G	8.51
Kneaddata	RiceS30-3-1	10%	30G	15.18
Kneaddata	RiceS30-3-2	10%	30G	15.18
Kneaddata	RiceS30-3-3	10%	30G	15.18
Kneaddata	RiceS30-3-4	10%	30G	15.18
Kneaddata	RiceS30-3-5	10%	30G	15.18
Kraken2	RiceS30-3-1	10%	30G	0.75
Kraken2	RiceS30-3-2	10%	30G	0.73
Kraken2	RiceS30-3-3	10%	30G	0.74
Kraken2	RiceS30-3-4	10%	30G	0.76
Kraken2	RiceS30-3-5	10%	30G	0.75
HostPurge	RiceS30-3-1	10%	30G	13.74
HostPurge	RiceS30-3-2	10%	30G	13.74
HostPurge	RiceS30-3-3	10%	30G	13.74
HostPurge	RiceS30-3-4	10%	30G	13.75
HostPurge	RiceS30-3-5	10%	30G	13.75
Kneaddata	RiceS60-1-1	90%	60G	30.26
Kneaddata	RiceS60-1-2	90%	60G	30.27
Kneaddata	RiceS60-1-3	90%	60G	30.27
Kneaddata	RiceS60-1-4	90%	60G	30.27
Kneaddata	RiceS60-1-5	90%	60G	30.27
Kraken2	RiceS60-1-1	90%	60G	0.77
Kraken2	RiceS60-1-2	90%	60G	0.77
Kraken2	RiceS60-1-3	90%	60G	0.76
Kraken2	RiceS60-1-4	90%	60G	0.76
Kraken2	RiceS60-1-5	90%	60G	0.77
HostPurge	RiceS60-1-1	90%	60G	4.28
HostPurge	RiceS60-1-2	90%	60G	4.28
HostPurge	RiceS60-1-3	90%	60G	4.28
HostPurge	RiceS60-1-4	90%	60G	4.27
HostPurge	RiceS60-1-5	90%	60G	4.28
Kneaddata	RiceS60-2-1	50%	60G	32.73
Kneaddata	RiceS60-2-2	50%	60G	32.73
Kneaddata	RiceS60-2-3	50%	60G	32.73
