Software	SampleID	GenomeProportion	Group	Software_Group	Software_GenomeProportion	PeakRSS	Times	num_seqs-host	num_seqs-microbiome	num_seqs-total	TP	FP	FN	TN	Precision	Recall	Accuracy	F1	TPR	TNR
Kneaddata	RiceS10-1-1	90%	10G	Kneaddata10G	Kneaddata0.9	6.36	361.1218333	35999172	3999908	39999080	35999172	8256	0	3991652	0.999770714	1	0.999793595	0.999885344	1	0.997935953
Kneaddata	RiceS10-1-2	90%	10G	Kneaddata10G	Kneaddata0.9	6.36	352.5904833	35999172	3999908	39999080	35999172	8168	0	3991740	0.999773157	1	0.999795795	0.999886566	1	0.997957953
Kneaddata	RiceS10-1-3	90%	10G	Kneaddata10G	Kneaddata0.9	6.36	351.2522667	35999172	3999908	39999080	35999172	8006	0	3991902	0.999777655	1	0.999799845	0.999888815	1	0.997998454
Kneaddata	RiceS10-1-4	90%	10G	Kneaddata10G	Kneaddata0.9	6.36	353.2468	35999172	3999908	39999080	35999172	8180	0	3991728	0.999772824	1	0.999795495	0.999886399	1	0.997954953
Kneaddata	RiceS10-1-5	90%	10G	Kneaddata10G	Kneaddata0.9	6.36	354.2469667	35999172	3999908	39999080	35999172	8254	0	3991654	0.99977077	1	0.999793645	0.999885372	1	0.997936453
Kraken2	RiceS10-1-1	90%	10G	Kraken210G	Kraken20.9	0.75	9.2229	35999172	3999908	39999080	35231103	2409	768069	3997499	0.999931628	0.978664259	0.980737607	0.989183645	0.978664259	0.999397736
Kraken2	RiceS10-1-2	90%	10G	Kraken210G	Kraken20.9	0.76	9.097883333	35999172	3999908	39999080	35232098	2361	767074	3997547	0.999932992	0.978691899	0.980763683	0.989198431	0.978691899	0.999409736
Kraken2	RiceS10-1-3	90%	10G	Kraken210G	Kraken20.9	0.75	9.17105	35999172	3999908	39999080	35231361	2277	767811	3997631	0.999935374	0.978671426	0.980747357	0.989189139	0.978671426	0.999430737
Kraken2	RiceS10-1-4	90%	10G	Kraken210G	Kraken20.9	0.76	8.647633333	35999172	3999908	39999080	35232294	2326	766878	3997582	0.999933985	0.978697343	0.980769458	0.989201698	0.978697343	0.999418487
Kraken2	RiceS10-1-5	90%	10G	Kraken210G	Kraken20.9	0.76	8.781633333	35999172	3999908	39999080	35232103	2362	767069	3997546	0.999932963	0.978692038	0.980763783	0.989198488	0.978692038	0.999409486
HostPurge	RiceS10-1-1	90%	10G	HostPurge10G	HostPurge0.9	0.96	20.97555	35999172	3999908	39999080	35320869	6457	0	3991450	0.999817224	1	0.999835778	0.999908603	1	0.998384905
HostPurge	RiceS10-1-2	90%	10G	HostPurge10G	HostPurge0.9	0.96	20.93963333	35999172	3999908	39999080	35321672	6465	0	3991532	0.999817001	1	0.999835578	0.999908492	1	0.99838294
HostPurge	RiceS10-1-3	90%	10G	HostPurge10G	HostPurge0.9	0.96	21.01541667	35999172	3999908	39999080	35321527	6301	0	3991734	0.999821642	1	0.999839749	0.999910813	1	0.998423976
HostPurge	RiceS10-1-4	90%	10G	HostPurge10G	HostPurge0.9	0.96	20.42386667	35999172	3999908	39999080	35322800	6468	0	3991578	0.999816922	1	0.999835507	0.999908453	1	0.99838221
HostPurge	RiceS10-1-5	90%	10G	HostPurge10G	HostPurge0.9	0.96	20.4372	35999172	3999908	39999080	35322143	6514	0	3991470	0.999815617	1	0.999834334	0.9999078	1	0.998370679
Kneaddata	RiceS10-2-1	50%	10G	Kneaddata10G	Kneaddata0.5	6.28	271.6625333	19999544	19999544	39999088	19999544	40906	0	19958638	0.997958828	1	0.998977327	0.998978371	1	0.997954653
Kneaddata	RiceS10-2-2	50%	10G	Kneaddata10G	Kneaddata0.5	6.28	271.2956667	19999544	19999544	39999088	19999544	40936	0	19958608	0.997957334	1	0.998976577	0.998977623	1	0.997953153
Kneaddata	RiceS10-2-3	50%	10G	Kneaddata10G	Kneaddata0.5	6.28	273.5488	19999544	19999544	39999088	19999544	40682	0	19958862	0.997969983	1	0.998982927	0.99898396	1	0.997965854
