SampleID	Hosttype	Microbiometype	HostGenomeProportion	Software	Accuracy	Precision	Recall	F1
RiceS10-1-1	Refer	Single	90%	KneadData	0.999793595	0.999770714	1	0.999885344
RiceS10-1-2	Refer	Single	90%	KneadData	0.999795795	0.999773157	1	0.999886566
RiceS10-1-3	Refer	Single	90%	KneadData	0.999799845	0.999777655	1	0.999888815
RiceS10-1-4	Refer	Single	90%	KneadData	0.999795495	0.999772824	1	0.999886399
RiceS10-1-5	Refer	Single	90%	KneadData	0.999793645	0.99977077	1	0.999885372
RiceS10-1-1	Refer	Single	90%	BWA	0.999605016	0.999561321	1	0.999780613
RiceS10-1-2	Refer	Single	90%	BWA	0.999735569	0.999706274	1	0.999853115
RiceS10-1-3	Refer	Single	90%	BWA	0.999743969	0.999715602	1	0.999857781
RiceS10-1-4	Refer	Single	90%	BWA	0.999463538	0.999404286	1	0.999702054
RiceS10-1-5	Refer	Single	90%	BWA	0.999527164	0.999474903	1	0.999737382
RiceS10-1-1	Refer	Single	90%	Bowtie2	0.99980432	0.999999722	0.999782856	0.999891277
RiceS10-1-2	Refer	Single	90%	Bowtie2	0.99980002	0.999999555	0.999778245	0.999888888
RiceS10-1-3	Refer	Single	90%	Bowtie2	0.99980287	0.999999583	0.999781384	0.999890472
RiceS10-1-4	Refer	Single	90%	Bowtie2	0.999800745	0.999999555	0.99977905	0.999889291
RiceS10-1-5	Refer	Single	90%	Bowtie2	0.99980192	0.999999639	0.999780273	0.999889944
RiceS10-1-1	Refer	Single	90%	Kraken2	0.980737607	0.999931628	0.978664259	0.989183645
RiceS10-1-2	Refer	Single	90%	Kraken2	0.980763683	0.999932992	0.978691899	0.989198431
RiceS10-1-3	Refer	Single	90%	Kraken2	0.980747357	0.999935374	0.978671426	0.989189139
RiceS10-1-4	Refer	Single	90%	Kraken2	0.980769458	0.999933985	0.978697343	0.989201698
RiceS10-1-5	Refer	Single	90%	Kraken2	0.980763783	0.999932963	0.978692038	0.989198488
RiceS10-1-1	Refer	Single	90%	KMCP	0.77303758	1	0.747819533	0.855717102
RiceS10-1-2	Refer	Single	90%	KMCP	0.772909927	1	0.747677697	0.855624236
RiceS10-1-3	Refer	Single	90%	KMCP	0.772947128	1	0.747719031	0.855651301
RiceS10-1-4	Refer	Single	90%	KMCP	0.772986679	1	0.747762976	0.855680074
RiceS10-1-5	Refer	Single	90%	KMCP	0.77305488	1	0.747838756	0.855729687
RiceS10-1-1	Refer	Single	90%	KrakenUniq	0.999908398	0.999899341	0.999998889	0.999949112
RiceS10-1-2	Refer	Single	90%	KrakenUniq	0.999910548	0.999901952	0.999998667	0.999950307
RiceS10-1-3	Refer	Single	90%	KrakenUniq	0.999911148	0.999902729	0.999998556	0.99995064
RiceS10-1-4	Refer	Single	90%	KrakenUniq	0.999906798	0.999897508	0.999998944	0.999948224
RiceS10-1-5	Refer	Single	90%	KrakenUniq	0.999908248	0.999899785	0.999998278	0.999949029
RiceS10-2-1	Refer	Single	50%	KneadData	0.998977327	0.997958828	1	0.998978371
RiceS10-2-2	Refer	Single	50%	KneadData	0.998976577	0.997957334	1	0.998977623
RiceS10-2-3	Refer	Single	50%	KneadData	0.998982927	0.997969983	1	0.99898396
