Year	Software
2010	Others
2011	Others
2011	Others
2012	Bowtie2
2012	BWA
2012	Others
2012	Others
2012	Others
2013	NotSupply
2013	BWA
2014	Bowtie2
2014	Bowtie2
2014	Bowtie2
2014	NotSupply
2014	NotSupply
2014	MG-RAST
2014	Others
2014	Others
2014	Others
2014	Others
2014	Others
2014	Others
2015	MG-RAST
2015	BBMap
2015	BWA
2015	Bowtie2
2015	MG-RAST
2015	Bowtie2
2015	Bowtie2
2015	MG-RAST
2015	NotSupply
2015	SOAP2
2015	Bowtie2
2015	Bowtie2
2015	SOAP2
2015	BWA
2015	Bowtie2
2015	MG-RAST
2015	Others
2015	Others
2015	Others
2015	Others
2015	Others
2016	SOAP2
2016	Bowtie2
2016	BBMap
2016	KneadData
2016	BWA
2016	BWA
2016	Bowtie2
2016	Bowtie2
2016	Bowtie2
2016	BMTagger
2016	DeconSeq
2016	Bowtie2
2016	BWA
2016	MG-RAST
2016	Others
2016	Others
2016	Others
2016	Others
2017	MG-RAST
2017	Bowtie2
2017	SOAP2
2017	SOAP2
2017	Bowtie2
2017	Bowtie2
2017	Bowtie2
2017	NotSupply
2017	MG-RAST
2017	BMTagger
2017	SOAP2
2017	BMTagger
2017	Bowtie2
2017	Bowtie2
2017	Bowtie2
2017	SOAP2
2017	NotSupply
2017	SOAP2
2017	Bowtie2
2017	NotSupply
2017	Bowtie2
2017	SOAP2
2017	MG-RAST
2017	SOAP2
2017	Bowtie2
2017	BWA
2017	NotSupply
2017	Bowtie2
2017	Kraken2
2017	BMTagger
2017	Others
2017	Others
2017	Others
2017	Others
2018	KneadData
2018	Bowtie2
2018	Bowtie2
2018	Bowtie2
2018	BWA
2018	BWA
2018	BWA
2018	Bowtie2
2018	BWA
2018	MG-RAST
2018	BWA
2018	SOAP2
2018	DeconSeq
2018	BMTagger
2018	Bowtie2
2018	Bowtie2
2018	SOAP2
2018	Bowtie2
2018	Kraken2
2018	Bowtie2
2018	Bowtie2
2018	SOAP2
2018	Bowtie2
2018	Bowtie2
2018	BBMap
2018	BWA
2018	BWA
2018	NotSupply
2018	BBMap
2018	BMTagger
2018	BWA
2018	Bowtie2
2018	BBDuk
2018	BWA
2018	NotSupply
2018	Bowtie2
2018	Others
2018	Others
2018	Others
2018	Others
2019	BWA
2019	Bowtie2
2019	Bowtie2
2019	DeconSeq
2019	SOAP2
2019	SOAP2
2019	BBMap
2019	Bowtie2
2019	Bowtie2
2019	Bowtie2
2019	SOAP2
2019	SOAP2
2019	Kraken2
2019	Bowtie2
2019	DeconSeq
2019	BWA
2019	SOAP2
2019	SOAP2
2019	BBMap
2019	SOAP2
2019	NotSupply
2019	SOAP2
2019	Bowtie2
2019	NotSupply
2019	Bowtie2
2019	Bowtie2
2019	BWA
2019	SOAP2
2019	Bowtie2
2019	Bowtie2
2019	DeconSeq
2019	BMTagger
2019	BBMap
2019	BWA
2019	Bowtie2
2019	MG-RAST
2019	BWA
2019	DeconSeq
2019	Bowtie2
2019	Bowtie2
2019	SOAP2
2019	Bowtie2
2019	Bowtie2
2019	Bowtie2
2019	Bowtie2
2019	Bowtie2
2019	Others
2019	Others
2019	Others
2019	Others
2019	Others
2019	Others
2019	Others
2019	Others
2019	Others
2020	Bowtie2
2020	Kraken2
2020	BMTagger
2020	Bowtie2
2020	BWA
2020	MG-RAST
2020	KneadData
2020	Bowtie2
2020	SOAP2
2020	Bowtie2
2020	Bowtie2
2020	BBDuk
2020	BWA
2020	Bowtie2
2020	Kraken2
2020	Bowtie2
2020	KneadData
2020	Bowtie2
2020	BMTagger
2020	Bowtie2
2020	BWA
2020	BWA
2020	BWA
2020	BWA
2020	Bowtie2
2020	KneadData
2020	NotSupply
2020	Kraken2
2020	BMTagger
2020	Bowtie2
2020	Bowtie2
2020	BBDuk
2020	Bowtie2
2020	Bowtie2
2020	BBMap
2020	Bowtie2
2020	Bowtie2
2020	BWA
2020	Bowtie2
2020	Bowtie2
2020	MG-RAST
2020	Kraken2
2020	Bowtie2
2020	BBDuk
2020	Kraken2
2020	Bowtie2
2020	BWA
2020	DeconSeq
2020	SOAP2
2020	BWA
2020	Bowtie2
2020	SOAP2
2020	BWA
2020	Bowtie2
2020	SOAP2
2020	BWA
2020	MG-RAST
2020	Bowtie2
2020	Bowtie2
2020	SOAP2
2020	Bowtie2
2020	SOAP2
2020	BBMap
2020	Bowtie2
2020	MG-RAST
2020	NotSupply
2020	BMTagger
2020	DeconSeq
2020	NotSupply
2020	BWA
2020	DeconSeq
2020	SOAP2
2020	NotSupply
2020	BWA
2020	Bowtie2
2020	Bowtie2
2020	Bowtie2
2020	Kraken2
2020	Bowtie2
2020	BWA
2020	SOAP2
2020	BMTagger
2020	NotSupply
2020	NotSupply
2020	DeconSeq
2020	Others
2020	Others
2020	Others
2020	Others
2020	Others
2020	Others
2020	Others
2020	Others
2020	Others
2020	Others
2020	Others
2021	BWA
2021	BMTagger
2021	BWA
2021	Bowtie2
2021	Kraken2
2021	SOAP2
2021	NotSupply
2021	Bowtie2
2021	BWA
2021	BWA
2021	Bowtie2
2021	BWA
2021	Bowtie2
2021	Bowtie2
2021	Bowtie2
2021	BWA
2021	BMTagger
2021	BWA
2021	Bowtie2
2021	BWA
2021	BWA
2021	Bowtie2
2021	BMTagger
2021	BBMap
2021	BWA
2021	Bowtie2
2021	BBDuk
2021	KneadData
2021	Bowtie2
2021	Bowtie2
2021	Bowtie2
2021	Bowtie2
2021	BBMap
2021	Bowtie2
2021	Bowtie2
2021	Bowtie2
2021	KneadData
2021	BWA
2021	Bowtie2
2021	Bowtie2
2021	SOAP2
2021	KneadData
2021	Bowtie2
2021	BBDuk
2021	SOAP2
2021	KneadData
2021	Bowtie2
2021	KneadData
2021	BBMap
2021	Bowtie2
2021	KneadData
2021	KneadData
2021	Bowtie2
2021	Kraken2
2021	SOAP2
2021	NotSupply
2021	BWA
2021	SOAP2
2021	Kraken2
2021	Bowtie2
2021	Bowtie2
2021	BBMap
2021	BBMap
2021	KneadData
2021	BWA
2021	BBDuk
2021	BBDuk
2021	Bowtie2
2021	Bowtie2
2021	BBMap
2021	Bowtie2
2021	Bowtie2
2021	BWA
2021	Kraken2
2021	Kraken2
2021	Kraken2
2021	BWA
2021	Kraken2
2021	MG-RAST
2021	Kraken2
2021	BBDuk
2021	BWA
2021	Bowtie2
2021	Bowtie2
2021	BWA
2021	BBDuk
2021	SOAP2
2021	KneadData
2021	BBMap
2021	KneadData
2021	BMTagger
2021	SOAP2
2021	Bowtie2
2021	Bowtie2
2021	BWA
2021	BWA
2021	Kraken2
2021	Bowtie2
2021	Bowtie2
2021	SOAP2
2021	Bowtie2
2021	Bowtie2
2021	KneadData
2021	Bowtie2
2021	Bowtie2
2021	KneadData
2021	SOAP2
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2021	Others
2022	Bowtie2
2022	NotSupply
2022	SOAP2
2022	SOAP2
2022	BWA
2022	Bowtie2
2022	Kraken2
2022	BWA
2022	Bowtie2
2022	BWA
2022	Bowtie2
2022	Kraken2
2022	Kraken2
2022	Bowtie2
2022	BWA
2022	Bowtie2
2022	BMTagger
2022	BWA
2022	KneadData
2022	Kraken2
2022	Kraken2
2022	BBDuk
2022	BBMap
2022	BWA
2022	BWA
2022	Bowtie2
2022	BBDuk
2022	BWA
2022	Kraken2
2022	BBDuk
2022	BWA
2022	KneadData
2022	Bowtie2
2022	Bowtie2
2022	BWA
2022	Bowtie2
2022	BBMap
2022	BWA
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	BWA
2022	BWA
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	Kraken2
2022	Kraken2
2022	Kraken2
2022	BBDuk
2022	SOAP2
2022	KneadData
2022	Bowtie2
2022	Bowtie2
2022	BWA
2022	Bowtie2
2022	Bowtie2
2022	BWA
2022	KneadData
2022	BWA
2022	BBMap
2022	SOAP2
2022	Bowtie2
2022	Bowtie2
2022	BBDuk
2022	BBDuk
2022	Bowtie2
2022	NotSupply
2022	BBDuk
2022	Bowtie2
2022	Kraken2
2022	BBDuk
2022	BBMap
2022	BBMap
2022	BWA
2022	Bowtie2
2022	BMTagger
2022	Bowtie2
2022	Bowtie2
2022	Kraken2
2022	Bowtie2
2022	BWA
2022	NotSupply
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	BMTagger
2022	BWA
2022	Kraken2
2022	Bowtie2
2022	KneadData
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	SOAP2
2022	Bowtie2
2022	BWA
2022	Kraken2
2022	Bowtie2
2022	Bowtie2
2022	KneadData
2022	BBDuk
2022	Bowtie2
2022	DeconSeq
2022	BBMap
2022	KneadData
2022	SOAP2
2022	BMTagger
2022	KneadData
2022	KneadData
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	Bowtie2
2022	BWA
2022	Bowtie2
2022	NotSupply
2022	Bowtie2
2022	BMTagger
2022	BBMap
2022	Kraken2
2022	SOAP2
2022	Bowtie2
2022	NotSupply
2022	KneadData
2022	Bowtie2
2022	Bowtie2
2022	SOAP2
2022	Bowtie2
2022	SOAP2
2022	Kraken2
2022	BWA
2022	SOAP2
2022	BWA
2022	BBMap
2022	Bowtie2
2022	Kraken2
2022	SOAP2
2022	Bowtie2
2022	BWA
2022	Kraken2
2022	Kraken2
2022	Bowtie2
2022	NotSupply
2022	NotSupply
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2022	Others
2023	Bowtie2
2023	Bowtie2
2023	BWA
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	NotSupply
2023	Kraken2
2023	NotSupply
2023	Kraken2
2023	Bowtie2
2023	Bowtie2
2023	BWA
2023	Bowtie2
2023	BWA
2023	Bowtie2
2023	BMTagger
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	BWA
2023	BWA
2023	KneadData
2023	Bowtie2
2023	Bowtie2
2023	Kraken2
2023	Kraken2
2023	Bowtie2
2023	Bowtie2
2023	Kraken2
2023	BWA
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	KneadData
2023	NotSupply
2023	Bowtie2
2023	Bowtie2
2023	BWA
2023	Bowtie2
2023	Bowtie2
2023	BWA
2023	Kraken2
2023	BWA
2023	Bowtie2
2023	BMTagger
2023	Kraken2
2023	Bowtie2
2023	BBMap
2023	Bowtie2
2023	SOAP2
2023	NotSupply
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	NotSupply
2023	Kraken2
2023	Kraken2
2023	Bowtie2
2023	KneadData
2023	BWA
2023	NotSupply
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	BWA
2023	Kraken2
2023	BWA
2023	Bowtie2
2023	Bowtie2
2023	KneadData
2023	NotSupply
2023	Bowtie2
2023	BWA
2023	KneadData
2023	Bowtie2
2023	NotSupply
2023	Bowtie2
2023	BWA
2023	Bowtie2
2023	BBDuk
2023	NotSupply
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Kraken2
2023	BWA
2023	KneadData
2023	Bowtie2
2023	KneadData
2023	NotSupply
2023	Bowtie2
2023	BBDuk
2023	KneadData
2023	BWA
2023	Kraken2
2023	BWA
2023	BWA
2023	KneadData
2023	BWA
2023	Bowtie2
2023	BWA
2023	Bowtie2
2023	Bowtie2
2023	KneadData
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Kraken2
2023	KneadData
2023	BBMap
2023	Kraken2
2023	BWA
2023	Bowtie2
2023	Bowtie2
2023	Kraken2
2023	BWA
2023	BBMap
2023	Bowtie2
2023	NotSupply
2023	BWA
2023	BWA
2023	KneadData
2023	Bowtie2
2023	KneadData
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Kraken2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	KneadData
2023	BWA
2023	KneadData
2023	Bowtie2
2023	Bowtie2
2023	SOAP2
2023	KneadData
2023	BMTagger
2023	Bowtie2
2023	Bowtie2
2023	Bowtie2
2023	BWA
2023	BBMap
2023	NotSupply
2023	BWA
2023	Bowtie2
2023	NotSupply
2023	Bowtie2
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2023	Others
2024	BWA
2024	BWA
2024	Bowtie2
2024	BWA
2024	Bowtie2
2024	Bowtie2
2024	Bowtie2
2024	Kraken2
2024	BWA
2024	KneadData
2024	SOAP2
2024	Bowtie2
2024	Kraken2
2024	Bowtie2
2024	BWA
2024	Bowtie2
2024	BWA
2024	Bowtie2
2024	Bowtie2
2024	Bowtie2
2024	BBDuk
2024	Bowtie2
2024	BWA
2024	Bowtie2
2024	KneadData
2024	Bowtie2
2024	KneadData
2024	Kraken2
2024	Bowtie2
2024	Bowtie2
2024	NotSupply
2024	KneadData
2024	Bowtie2
2024	Bowtie2
2024	Bowtie2
2024	Bowtie2
2024	Bowtie2
2024	Bowtie2
