SampleID	Software	Hosttype	Microbiometype	HostGenomeProportion	DataSize	Gigabytes	Times
RiceS10-1-1	Bowtie2	Rice	Single	90%	10G	0.451777344	188.4204667
RiceS10-1-2	Bowtie2	Rice	Single	90%	10G	0.456279297	192.7020833
RiceS10-1-3	Bowtie2	Rice	Single	90%	10G	0.460498047	181.6161167
RiceS10-1-4	Bowtie2	Rice	Single	90%	10G	0.458945313	190.76045
RiceS10-1-5	Bowtie2	Rice	Single	90%	10G	0.448203125	190.7496833
RiceS10-2-1	Bowtie2	Rice	Single	50%	10G	0.448671875	114.9371333
RiceS10-2-2	Bowtie2	Rice	Single	50%	10G	0.455722656	109.1746833
RiceS10-2-3	Bowtie2	Rice	Single	50%	10G	0.460322266	110.8859167
RiceS10-2-4	Bowtie2	Rice	Single	50%	10G	0.459980469	119.43855
RiceS10-2-5	Bowtie2	Rice	Single	50%	10G	0.448564453	119.43855
RiceS10-3-1	Bowtie2	Rice	Single	10%	10G	0.444628906	31.97183333
RiceS10-3-2	Bowtie2	Rice	Single	10%	10G	0.438330078	31.28265
RiceS10-3-3	Bowtie2	Rice	Single	10%	10G	0.444892578	30.89825
RiceS10-3-4	Bowtie2	Rice	Single	10%	10G	0.459628906	31.1501
RiceS10-3-5	Bowtie2	Rice	Single	10%	10G	0.446064453	30.06631667
RiceS10-1-1	BWA	Rice	Single	90%	10G	1.41	246.4815833
RiceS10-1-2	BWA	Rice	Single	90%	10G	1.4	260.3464333
RiceS10-1-3	BWA	Rice	Single	90%	10G	1.41	237.4259167
RiceS10-1-4	BWA	Rice	Single	90%	10G	1.41	256.14635
RiceS10-1-5	BWA	Rice	Single	90%	10G	1.41	234.7615667
RiceS10-2-1	BWA	Rice	Single	50%	10G	1.34	193.3717167
RiceS10-2-2	BWA	Rice	Single	50%	10G	1.34	189.6516167
RiceS10-2-3	BWA	Rice	Single	50%	10G	1.34	240.8232
RiceS10-2-4	BWA	Rice	Single	50%	10G	1.34	185.2511
RiceS10-2-5	BWA	Rice	Single	50%	10G	1.34	203.8604667
RiceS10-3-1	BWA	Rice	Single	10%	10G	1.38	131.7542
RiceS10-3-2	BWA	Rice	Single	10%	10G	1.39	121.3667
RiceS10-3-3	BWA	Rice	Single	10%	10G	1.4	112.13605
RiceS10-3-4	BWA	Rice	Single	10%	10G	1.4	113.3538833
RiceS10-3-5	BWA	Rice	Single	10%	10G	1.4	114.4817667
RiceS10-1-1	Kneaddata	Rice	Single	90%	10G	6.36	361.1218333
RiceS10-1-2	Kneaddata	Rice	Single	90%	10G	6.36	352.5904833
RiceS10-1-3	Kneaddata	Rice	Single	90%	10G	6.36	351.2522667
RiceS10-1-4	Kneaddata	Rice	Single	90%	10G	6.36	353.2468
RiceS10-1-5	Kneaddata	Rice	Single	90%	10G	6.36	354.2469667
RiceS10-2-1	Kneaddata	Rice	Single	50%	10G	6.28	271.6625333
RiceS10-2-2	Kneaddata	Rice	Single	50%	10G	6.28	271.2956667
RiceS10-2-3	Kneaddata	Rice	Single	50%	10G	6.28	273.5488
RiceS10-2-4	Kneaddata	Rice	Single	50%	10G	6.28	273.9113833
RiceS10-2-5	Kneaddata	Rice	Single	50%	10G	6.28	287.82785
RiceS10-3-1	Kneaddata	Rice	Single	10%	10G	6.48	72.6102
RiceS10-3-2	Kneaddata	Rice	Single	10%	10G	6.48	72.23508333
RiceS10-3-3	Kneaddata	Rice	Single	10%	10G	6.48	72.18831667
RiceS10-3-4	Kneaddata	Rice	Single	10%	10G	6.48	72.22411667
RiceS10-3-5	Kneaddata	Rice	Single	10%	10G	6.48	72.52773333
RiceS10-1-1	Kraken2	Rice	Single	90%	10G	0.754521484	9.2229
RiceS10-1-2	Kraken2	Rice	Single	90%	10G	0.758564453	9.097883333
RiceS10-1-3	Kraken2	Rice	Single	90%	10G	0.748662109	9.17105
RiceS10-1-4	Kraken2	Rice	Single	90%	10G	0.759169922	8.647633333
RiceS10-1-5	Kraken2	Rice	Single	90%	10G	0.75671875	8.781633333
RiceS10-2-1	Kraken2	Rice	Single	50%	10G	0.751064453	9.182
RiceS10-2-2	Kraken2	Rice	Single	50%	10G	0.746337891	8.77785
RiceS10-2-3	Kraken2	Rice	Single	50%	10G	0.751767578	8.6179
RiceS10-2-4	Kraken2	Rice	Single	50%	10G	0.748134766	8.539366667
RiceS10-2-5	Kraken2	Rice	Single	50%	10G	0.754550781	8.118166667
RiceS10-3-1	Kraken2	Rice	Single	10%	10G	0.754355469	7.104283333
RiceS10-3-2	Kraken2	Rice	Single	10%	10G	0.75265625	7.110066667
RiceS10-3-3	Kraken2	Rice	Single	10%	10G	0.749238281	7.1799
RiceS10-3-4	Kraken2	Rice	Single	10%	10G	0.750839844	7.156233333
RiceS10-3-5	Kraken2	Rice	Single	10%	10G	0.752675781	7.144633333
RiceS10-1-1	KMCP	Rice	Single	90%	10G	3.82	67.61871667
RiceS10-1-2	KMCP	Rice	Single	90%	10G	3.81	69.24251667
RiceS10-1-3	KMCP	Rice	Single	90%	10G	3.8	68.92471667
RiceS10-1-4	KMCP	Rice	Single	90%	10G	3.8	68.70505
RiceS10-1-5	KMCP	Rice	Single	90%	10G	3.81	69.01961667
RiceS10-2-1	KMCP	Rice	Single	50%	10G	4.28	49.82653333
RiceS10-2-2	KMCP	Rice	Single	50%	10G	4.27	49.29508333
RiceS10-2-3	KMCP	Rice	Single	50%	10G	4.19	51.31678333
RiceS10-2-4	KMCP	Rice	Single	50%	10G	4.1	54.9895
RiceS10-2-5	KMCP	Rice	Single	50%	10G	4.13	54.12086667
RiceS10-3-1	KMCP	Rice	Single	10%	10G	4.23	48.873
RiceS10-3-2	KMCP	Rice	Single	10%	10G	4.15	51.77236667
RiceS10-3-3	KMCP	Rice	Single	10%	10G	4.2	49.78176667
RiceS10-3-4	KMCP	Rice	Single	10%	10G	4.24	48.50615
RiceS10-3-5	KMCP	Rice	Single	10%	10G	4.13	48.45216667
RiceS10-1-1	KrakenUniq	Rice	Single	90%	10G	11.37	25.342
RiceS10-1-2	KrakenUniq	Rice	Single	90%	10G	11.38	29.27496667
RiceS10-1-3	KrakenUniq	Rice	Single	90%	10G	10.55	24.54528333
RiceS10-1-4	KrakenUniq	Rice	Single	90%	10G	10.71	26.56465
